DOI,Title,Authors,Year,Abstract,Include,Reason,Data Source
10.1109/ICTACS62700.2024.10840995,Comparative Analysis of Different Classifiers on Fusion of Sentinel Datasets for Agriculture Land,N. Vyas; G. K. Sethi; S. Singh,2024,"Image fusion could adopt the optical and microwave images model to obtain more precise agricultural land cover information features by using the optical and microwave remote sensing sensors characteristics. The source of data has decided to take into account Sentinel-2 L2A and Sentinel-1 VH (Vertical-transmit and Horizontal-receive) datasets for testing image fusion classifiers used in the experiments. Different kinds of classifiers were used in this research. Among them, MDC stands for Minimum Distance Classifier, and Maximum Likelihood Classifier represents MLC. Lastly, a Support Vector Machine (SVM) was used during the fusion of the images to classify Land Use and determine the validity of these algorithms. A summary of the outputs will give an upper hand to the classifiers based on Support Vector Machines, with the accuracy reaching 95.67% and a kappa of 0.9191. The SVM classification algorithm during the study showed the dense vegetation, deciduous vegetation, water, and urban zones with shallow errors. MDC performed the task well in detecting the land use category with an accuracy of 91.70% and kappa of 0.8469. The opposite of the MDC classifier was that the accuracy was not the top level, as, in some ways, some water bodies were wrongly assigned as urban regions. MLC has the least promising result among other approaches and is in the last place in terms of accuracy, with 89.52% and a kappa value of 0.8281.",no,"The data sources mentioned (Sentinel-1 and Sentinel-2) are global, and the abstract does not specify an exclusively European study area.",
10.1109/IGARSS47720.2021.9553571,Agricultural SandboxNL: A Crop Parcel Level Database Using Sentinel-1 SAR and Google Earth Engine,V. Kumar; M. Huber; M. Shorachi; B. Rommen; S. C. Steele-Dunne,2021,"The systematic high temporal coverage of Sentinel-1 Synthetic Aperture Radar (SAR) is ideal for agricultural monitoring. The availability of these data on cloud computing infrastructure eliminates the need for massive computing power to process imagery. However, their distribution as SAR imagery still limits their accessibility for non-expert users. In Agricultural SandboxNL, Copernicus Sentinel-1 imagery on the Google Earth Engine (GEE) was mined to produce a database of spatially-tagged, parcel-level backscatter for every agricultural parcel in the Netherlands from 2017 to 2019. The database includes descriptors from the publicly available Basisregistratie Gewaspercelen, allowing the user to query the database by crop type and administrative boundary for any region of interest within The Netherlands. Publication of this database reduces the burden of processing and extracting a large volume of Sentinel-1 SAR data for experts. More importantly, it provides easy access to the Sentinel-1 data for agriculture/agronomy experts with limited SAR processing experience. In addition, the GEE package Sen1byParcel developed for Agricultural SandboxNL is made publicly available so that Sentinel-1 imagery can be extracted for any user-provided shapefile.",no,"The dataset has national coverage (the Netherlands), not multi-country European coverage.",
10.1109/SEEDA-CECNSM57760.2022.9932913,Open weather data evaluation for crop irrigation prediction mechanisms in the AUGEIAS project,T. Karamitsou; D. Seventekidis; C. Karapiperis; K. Banti; I. Karampelia; T. Kyriakidis; M. Louta,2022,"Treated wastewater reuse is increasingly important for efficient and sustainable management of water resources due to increased water demands. Motivated by the above, AUGEIAS proposes an Internet of Things (IoT) approach for clean and treated wastewater usage in precision agriculture. In this context, real-time measurements for wastewater treatment plant and field are correlated with open data to improve crop water needs prediction mechanisms. This paper presents the open weather sources that are used and evaluates their reliability. After the open data is evaluated, it is integrated with the data collected by IoT sensors/devices. By using the mean absolute percentage error metric, we evaluate the forecasting performance of open weather sources. According to our study, OpenWeatherMap’s forecast data proved more accurate, with a success rate at 83.3%.",no,"The data source mentioned (OpenWeatherMap) is global, not exclusively European.",
10.1109/JSTARS.2015.2485662,A New European Settlement Map From Optical Remotely Sensed Data,A. J. Florczyk; S. Ferri; V. Syrris; T. Kemper; M. Halkia; P. Soille; M. Pesaresi,2016,"An application of a general methodology for processing very high-resolution imagery to produce a European Settlement Map (ESM) in support of policy-makers is presented. The process mapped around 10 million km2 of the European continent. The input image data are satellite SPOT-5/6 pan-sharpened multispectral images of 2.5- and 1.5-m spatial resolution, respectively. This is the first time that remote sensing technology demonstrates capability to produce a continental information layer using 2.5-m input images. Moreover, it is the highest resolution continental map produced so far. The presented workflow is data-driven and consists in fully automatic image information extraction based on textural and morphological image analysis. The learning method allows the processing of high-resolution image data using coarse resolution thematic layers as reference. Validation shows an overall accuracy of 96% with omission and commission errors less than 4% and 1%, respectively.",no,"The dataset produced is a 'European Settlement Map', which is not primarily related to agriculture.",
10.1109/IGARSS47720.2021.9553603,"Sen4AgriNet: A Harmonized Multi-Country, Multi-Temporal Benchmark Dataset for Agricultural Earth Observation Machine Learning Applications",D. Sykas; I. Papoutsis; D. Zografakis,2021,"This work introduces a one of its kind labeled Earth Observation based benchmark dataset, Sen4AgriNet, for agricultural applications in Europe. The dataset is labeled using farmer declarations for the period 2016–2020, available as open data only very recently. The Sen4AgriNet contains 42.5 million parcels hence is significantly larger than the existing archives and is tailored to be used as a training source in the context of deep learning. It consists of two sub-datasets: Object Aggregated Dataset (OAD) and Patches Assembled Dataset (PAD). OAD dataset capitalizes zonal statistics of each parcel, thus creating a powerful label-to-features instance for classification algorithms. On the other hand, PAD structure generalizes the classification problem to parcel extraction and semantic segmentation and labeling. Key advantages from other similar datasets are the inclusion of all bands, multicountry and multi-year time span, and standardization of the crop type taxonomy across Europe. Finally, we showcase the potential of Sen4AgriNet through machine learning experiments. All data and code are accessible here: https://sen4agrinet.space.noa.gr/",yes,"The paper introduces a multi-country, open-access benchmark dataset for agricultural applications with explicit European coverage.",Sen4AgriNet
10.1109/COINS54846.2022.9855001,Data-Driven and Interoperable Smart Agriculture: An IoT-based Use-Case for Arable Crops,G. Routis; M. Paraskevopoulos; I. A. Vetsikas; I. Roussaki; D. Stavrakoudis; D. Katsantonis,2022,"The sustainability of the agricultural sector relies on exploiting all technologies available today (and further advancing them), in order to decrease the costs and the environmental impact, maintaining yields at the same time. DEMETER is a Horizon 2020 project that aspires to empower farmers to better exploit their existing operational context and create new business models through smart data sharing in the agricultural sector, in an interoperable, reusable, and safe manner. This paper presents a specific use-case that uses the facilities developed in order to optimize rice and maize irrigation and fertilization management processes. It provides an overview of the project’s objectives and concepts and then describes the various modules of the specific use-case and how they cooperate to establish suitable decision support mechanisms. Finally, it elaborates on how the development of other similar services reusing the individual building blocks, in an interoperable and vendor-neutral manner, is facilitated.",maybe,The abstract describes a European project (DEMETER) but focuses on a specific use-case. It is unclear if any data with multi-country European coverage is used or produced.,
10.1109/IGARSS52108.2023.10281582,The Greek Soil Data Cube in Support of Generating Soil Related Analysis Ready Data,E. Kalopesa; N. L. Tsakiridis; G. Boletos; N. Tziolas; G. C. Zalidis,2023,"Analysis-ready data generated through datacube approaches are essential in Earth Observation (EO) data analysis. By pre-processing and organizing large volumes of satellite imagery into spatio-temporal datacubes, analysis-ready data facilitates efficient and streamlined analysis workflows, enabling quick access and manipulation of the multi-dimensional EO data. This allows researchers, scientists, and stakeholders to focus on analyzing the data, detecting trends, monitoring changes, and deriving actionable information. In this paper, we describe the architecture of the Greek Soil Data Cube which ingests Sentinel-2 data from the entire country and generates the annual bare soil reflectance composites which in turn may be used to predict soil physicochemical properties using artificial intelligence techniques.",no,"The dataset has national coverage (Greece), not multi-country European coverage.",
10.1109/TGRS.2017.2734070,Triple Collocation-Based Merging of Satellite Soil Moisture Retrievals,A. Gruber; W. A. Dorigo; W. Crow; W. Wagner,2017,"We propose a method for merging soil moisture retrievals from spaceborne active and passive microwave instruments based on weighted averaging taking into account the error characteristics of the individual data sets. The merging scheme is parameterized using error variance estimates obtained from using triple collocation analysis (TCA). In regions where TCA is deemed unreliable, we use correlation significance levels ( $p$ -values) as indicator for retrieval quality to decide whether to use active data only, passive data only, or an unweighted average. We apply the proposed merging scheme to active retrievals from advanced scatterometer and passive retrievals from the Advanced Microwave Scanning Radiometer—Earth Observing System using Global Land Data Assimilation System-Noah to complement the triplet required for TCA. The merged time series is evaluated against soil moisture estimates from ERA-Interim/Land and in situ measurements from the International Soil Moisture Network using the European Space Agency’s (ESA’s) current Climate Change Initiative—Soil Moisture (ESA CCI SM) product version v02.3 as benchmark merging scheme. Results show that the  $p$ -value classification provides a robust basis for decisions regarding using either active or passive data alone, or an unweighted average in cases where relative weights cannot be estimated reliably, and that the weights estimated from TCA in almost all cases outperform the ternary decision upon which the ESA CCI SM v02.3 is based. The proposed method forms the basis for the new ESA CCI SM product version v03.x and higher.",no,"The data sources used for the study are global in coverage, not exclusively European.",
10.1109/JSTARS.2024.3435081,Sen4Map: Advancing Mapping With Sentinel-2 by Providing Detailed Semantic Descriptions and Customizable Land-Use and Land-Cover Data,S. Sharma; R. Sedona; M. Riedel; G. Cavallaro; C. Paris,2024,"This article presents Sen4Map, a large-scale benchmark dataset designed to enhance the capability of generating land-cover maps using Sentinel-2 data. Comprising nonoverlapping $ \text{64} \times \text{64} $ patches extracted from Sentinel-2 time series images, the dataset spans 335 125 geotagged locations across the European Union. These locations are associated with detailed land-cover and land-use information gathered by expert surveyors in 2018. Unlike most existing large datasets available in the literature, the presented database provides: first, a detailed description of the land-cover and land-use properties of each sampled area; second, independence of scale, as it is associated with reference data collected in situ by expert surveyors; third, the ability to test both temporal and spatial classification approaches because of the availability of time series of $ \text{64} \times \text{64} $ patches associated with each labeled sample; and fourth, samples were collected following a stratified random sample design to obtain a statistically representative spatial distribution of land-cover classes throughout the European Union. To showcase the properties and challenges offered by Sen4Map, we benchmarked the current state-of-the-art land-cover classification approaches.",yes,"The paper presents a benchmark dataset, Sen4Map, with coverage across the European Union for land-cover and land-use, which is relevant to agriculture.",Sen4Map
10.23919/ConTEL52528.2021.9495978,Analysis of Open Access Data Sources for Application in Precision Agriculture,P. Skocir; K. Mandaric; I. Kralj; I. P. Zarko; G. Jezic,2021,"Precision agriculture uses new technologies to improve crop yields and increase profitability for farmers while reducing the inputs required to grow crops, such as land, water, fertilizers, pesticides, etc. Environmental microclimate data (e.g., air and soil temperature or moisture) are needed as inputs to precision agriculture applications so that adequate decisions and agrotechnical measures can be applied in the fields. Most of the existing precision agriculture solutions for environmental and crop monitoring use locally deployed sensors as the main data source. Since the deployment and maintenance of physical sensors in the fields potentially involves significant costs and human effort, open-access data sources may be an effective complement to environmental data from deployed sensors, but the question remains whether open-access data sources are comparable to locally deployed sensors in terms of accuracy. This paper analyzes the correlation between open environmental data sources provided by the Copernicus ERA5-Land and Agri4Cast data sets, and data collected by locally deployed sensors to determine the extent to which open data sources can be used in precision agriculture.",yes,"The paper analyzes open access data sources for agriculture, including Agri4Cast, which has European coverage.",Copernicus ERA5-Land; Agri4Cast
10.1109/ACCESS.2024.3428401,Emerging Technologies for Sustainable Agriculture: The Power of Humans and the Way Ahead,M. Louta; K. Banti; I. Karampelia,2024,"Agriculture plays a critical role in society, providing sustenance, contributing to economic growth, and addressing global hunger and malnutrition challenges. However, the environmental impact of agriculture, including water consumption, greenhouse gas emissions, and soil pollution, poses significant challenges. The advent of agriculture revolution 4.0, characterized by automated and data-driven smart farming, offers opportunities to enhance sustainability and climate resilience. Information and communication technologies (ICT), particularly Next Generation Internet of Things (NG-IoT), coupled with remote sensing, robotics, and artificial intelligence (AI), facilitate data-driven decision-making and optimization of agricultural activities. This paper reviews emerging ICT technologies in agriculture to provide a comprehensive understanding of the challenges and opportunities in achieving sustainable agriculture through these technologies. Furthermore, we emphasize the significance of human-centered systems and explainable AI for achieving sustainability in agriculture, highlighting the essential role of user-centric design and transparent decision-making processes in shaping the future of smart farming. Finally, we present real projects in Greece that utilize many of the aforementioned technologies, showcasing their outstanding performance in the field of smart agriculture and providing future directions towards incorporating human involvement, enhancing reliability, and explainability.",no,This is a review paper that discusses technologies and mentions national projects (Greece) but does not use or produce a specific dataset with European coverage.,
10.1109/TGRS.2024.3398135,"A Two-Stage Leaf–Stem Separation Model for Maize With High Planting Density With Terrestrial, Backpack, and UAV-Based Laser Scanning",L. Lei; Z. Li; H. Yang; T. B. Hoey; J. Wu; B. Xu; X. Yang; H. Feng; G. Yang,2024,"The accurate and high-throughput extraction of phenotypic traits is of great significance for crop breeding and growth monitoring. The segmentation of structural components (e.g., leaves and stems) is a prerequisite for extracting phenotypic traits. In the past decade, there has been an increase in methods attempting to separate leaves and stems in point clouds. However, previous researches mainly focus on plants at the individual level due to the interlocked and overlapped nature of leaves and the bottleneck existing for field plants to extract phenotypic traits. To address this issue, a novel two-stage leaf–stem separation model encompassing the initial separation of leaves and stems and optimization is presented in this article. The model is based on the different geometric features of leaves and stems of maize plants defined by neighborhood points, and a cylinder is used to find the neighborhood points by considering the elongated characteristic of maize stems. After that, another elongated cylinder (0.5 m high and 0.02 m diameter) is used to traverse the stem points to optimize the initially separated results. Maize plants with the planting density of 45 000 plants/ha in the filling stage (Exp. 2019) were used to train and test the model in the initial separation step (Experiment 1), showing that the separation accuracy (SA) could be up to 91.3%. It was concluded that a 0.11-m-high and 0.07-m diameter cylinder was the optimal searching parameter for the initial separation and 0.25 m was the optimal threshold for optimization. We also tested the transferability of the model (Experiment 2) for maize plants with different planting densities (45 000, 67 500, 90 000, and 105 000 plants/ha), different growth stages (jointing, silking and filling), and point clouds collected using multiple platforms [terrestrial laser scanning (TLS), light detection and ranging (LiDAR) Backpack (LiBackpack), and unmanned aerial vehicle-LiDAR (UAV-LiDAR)], suggesting that the model performed well for all the datasets. In addition, the simulated datasets of maize with different planting densities were used to assess the model performance at the point level, showing the SA values were 0.92, 0.91, 0.91, and 0.90 for maize with the planting densities of 45 000, 67 500, 90 000, and 105 000 plants/ha, respectively. The proposed model in this study is innovative, and it has promising prospects for the high-throughput extraction of the phenotypic traits in field maize plants and could facilitate genotype selection in crop breeding and 3-D plant modeling.",no,The data used is from local field experiments and does not have European coverage.,
10.1109/JSTARS.2021.3137008,Toward the Removal of Model Dependency in Soil Moisture Climate Data Records by Using an $L$-Band Scaling Reference,R. Madelon; N. J. Rodríguez-Fernández; R. van der Schalie; T. Scanlon; A. Al Bitar; Y. H. Kerr; R. de Jeu; W. Dorigo,2022,"Building climate data records of soil moisture (SM) requires computing long time series by merging retrievals from sensors on-board different satellites, which implies to perform a bias correction or rescaling on the original time series. Due to their long time span and high temporal frequency, model data could be used as a common reference for the rescaling. However, avoiding model dependence in observational climate data records is needed for some applications. In this article, the possibility of using as reference remote sensing data from one of the $L$-band sensors specifically designed to measure SM is discussed. Advanced Microwave Scanning Radiometer 2 SM time series were rescaled by matching their cumulative distribution functions (CDFs) to those of Soil Moisture and Ocean Salinity (SMOS), Soil Moisture Active Passive (SMAP), and Global Land Data Assimilation System (GLDAS) NOAH model time series. The CDF computation was investigated as a function of the time series length, finding significant differences from four to nine years. Replacing temporal by spatial variance does not allow us to compute better CDFs from short time series. The rescaled time series show a high correlation ($R>0.8$) to the original ones and a low bias with respect to the reference ($< $0.03 m $^{3}\cdot$ m$^{-3}$). The time series rescaled using several SMOS or SMAP datasets were also evaluated against in situ measurements and show performances similar to or slightly better than those rescaled using the model GLDAS. The impact of random errors and gaps of the observational data into the rescaling was evaluated. These results show that it is actually possible to use $L$-band data as reference to rescale time series from other sensors to build long time series of SM.",no,"The data sources discussed (SMOS, SMAP, GLDAS) are global, not exclusively European.",
10.1109/JSTARS.2020.3038152,Semantically Enriched Crop Type Classification and Linked Earth Observation Data to Support the Common Agricultural Policy Monitoring,M. Rousi; V. Sitokonstantinou; G. Meditskos; I. Papoutsis; I. Gialampoukidis; A. Koukos; V. Karathanassi; T. Drivas; S. Vrochidis; C. Kontoes; I. Kompatsiaris,2021,"During the last decades, massive amounts of satellite images are becoming available that can be enriched with semantic annotations for the creation of value-added earth observation products. One challenge is to extract knowledge from the raw satellite data in an automated way and to effectively manage the extracted information in a semantic way, to allow fast and accurate decisions of spatiotemporal nature in a real operational scenario. In this work, we present a framework that combines supervised learning for crop type classification on satellite imagery time-series with semantic web and linked data technologies to assist in the implementation of rule sets by the European common agricultural policy (CAP). The framework collects georeferenced data that are available online and satellite images from the Sentinel-2 mission. We analyze image time-series that cover the entire cultivation period and link each parcel with a specific crop. On top of that, we introduce a semantic layer to facilitate a knowledge-driven management of the available information, capitalizing on ontologies for knowledge representation and semantic rules, to identify possible farmers noncompliance according to the Greening 1 (crop diversification) and SMR 1 rule (protection of waters against pollution caused by nitrates) rules of the CAP. Experiments show the effectiveness of the proposed integrated approach in three different scenarios for crop type monitoring and consistency checking for noncompliance to the CAP rules: the smart sampling of on-the-spot checks; the automatic detection of CAP's Greening 1 rule; and the automatic detection of susceptible parcels according to the CAP's SMR 1 rule.",maybe,"The context is the European Common Agricultural Policy (CAP), but the abstract does not specify if the data used in the experiments has multi-country European coverage or is from a local/national case study.",
10.1109/JSTARS.2022.3164771,"A Sentinel-2 Multiyear, Multicountry Benchmark Dataset for Crop Classification and Segmentation With Deep Learning",D. Sykas; M. Sdraka; D. Zografakis; I. Papoutsis,2022,"In this work, we introduce Sen4AgriNet, a Sentinel-2-based time series multicountry benchmark dataset, tailored for agricultural monitoring applications with machine and deep learning. Sen4AgriNet dataset is annotated from farmer declarations collected via the land parcel identification system (LPIS) for harmonizing country-wide labels. These declarations have only recently been made available as open data, allowing for the first time the labeling of satellite imagery from ground truth data. We proceed to propose and standardize a new crop type taxonomy across Europe that addresses common agriculture policy (CAP) needs, based on the Food and Agriculture Organization (FAO) indicative crop classification scheme. Sen4AgriNet is the only multicountry, multiyear dataset that includes all spectral information. It is constructed to cover the period 2016–2020 for Catalonia and France, while it can be extended to include additional countries. Currently, it contains 42.5 million parcels, which makes it significantly larger than other available archives. We extract two subdatasets to highlight its value for diverse deep learning applications—the object aggregated dataset (OAD) and the patches assembled dataset (PAD). OAD capitalizes zonal statistics of each parcel, thus creating a powerful label-to-features instance for classification algorithms. On the other hand, PAD structure generalizes the classification problem to parcel extraction and semantic segmentation and labeling. The PAD and OAD are examined under three different scenarios to showcase and model the effects of spatial and temporal variability across different years and different countries.1",yes,"The paper introduces Sen4AgriNet, a multi-country (Catalonia and France) benchmark dataset for agriculture with a standardized crop taxonomy for Europe.",Sen4AgriNet
10.1109/MetroAgriFor50201.2020.9277542,Water spray detection for smart irrigation systems with Mask R-CNN and UAV footage,C. K. G. Albuquerque; S. Polimante; A. Torre-Neto; R. C. Prati,2020,"While the world's population rises, demand for food grows accordingly. Smart agriculture emerges as a viable solution to increase the quality and efficiency of crops. Irrigation plays an essential role in the grade and productivity of harvests, while also being a crucial factor in the cost-effectiveness of food production. Smart irrigation uses technology to improve watering, such as the Internet of Things (IoT) applications and Machine Learning algorithms. The correct functioning of irrigation nozzles is critical to ensure that the hydration plan is deployed correctly to the crop field. This paper presents a Machine Learning algorithm that can automatically recognize water from aerial footage of irrigation systems. This automatic recognition can help in the irrigation system inspection, potentially reducing time and cost in system maintenance. Initial results show that it is possible to identify water on image frames captured by an Unmanned Aerial Vehicle (UAV) using the Mask R-CNN Neural Network. The goal is to identify malfunctioning irrigation systems that can lead to under or overwatering, compromising the irrigation plan's correct implementation.",no,"The data used is UAV footage, which is local in scope and does not have European coverage.",
10.1109/ACCESS.2024.3383309,Incorporating Meteorological Data and Pesticide Information to Forecast Crop Yields Using Machine Learning,M. J. Hoque; M. S. Islam; J. Uddin; M. A. Samad; B. S. De Abajo; D. L. R. Vargas; I. Ashraf,2024,"The agricultural sector is more vulnerable to the adverse effects of climate change and excessive pesticide application, posing a significant risk to global food security. Accurately predicting crop yields is essential for mitigating these risks and providing information on sustainable agricultural practices. This research presents a novel crop yield prediction system that utilizes a year’s worth of meteorological data, pesticide records, crop yield data, and machine learning techniques. We employed rigorous methods to gather, clean, and enhance data and then trained and evaluated three machine learning models: Gradient Boosting, K-Nearest Neighbors, and Multivariate Logistic Regression. We utilized the GridSearchCV method for hyper-parameter tweaking to identify the most suitable hyper-parameter throughout K-Fold cross-validation, aiming to improve the model’s performance by avoiding overfitting. The remarkable performance of the Gradient Boosting model, with an almost flawless coefficient of determination ( $R^{2}$ ) of 99.99%, demonstrates its promise for precise yield prediction. This research also examined the correlation between projected and actual crop yields and identified the ideal meteorological conditions. It paves the way for data-driven methods in sustainable agriculture and resource distribution, ultimately leading to a more secure future with respect to food availability and resilience to climate change.",no,"The abstract does not specify the geographical coverage of the meteorological, pesticide, and crop yield data used.",
10.1109/COINS57856.2023.10189318,Data Fusion for Smart Agriculture Applied to an IoT-based Use-Case for Arable Crops,I. A. Vetsikas; I. Roussaki,2023,"The H2020 DEMETER project uses advanced AI and IoT technologies in order to promote the sustainability of the agricultural sector, to decrease the costs and the environmental impact, while maintaining yields at the same time. To achieve this it developed a service-oriented architecture where various interoperable enablers (i.e., services) can be combined in order to create apps that optimize the usage of resources and yield at the same time. This paper first presents a specific use-case that optimizes rice and maize irrigation and fertilization management processes. Then, it focuses its main part in the development of a data fusion enabler that, combined with appropriate sensor, data analytics, decision support and actuation enablers was combined into the development of DEMETER apps for this use case, that achieved reductions of the used resources (water and fertilizer) while maintaining the crop yields. For the development of this fusion enabler, several preexisting fusion techniques were examined, and the most appropriate of these were used and combined to form the fusion enabler.",maybe,The abstract describes a European project (DEMETER) but focuses on a specific use-case. It is unclear if any data with multi-country European coverage is used or produced.,
10.1109/JSTARS.2021.3084849,The Added-Value of Remotely-Sensed Soil Moisture Data for Agricultural Drought Detection in Argentina,M. M. Salvia; N. Sánchez; M. Piles; R. C. Ruscica; Á. González-Zamora; E. Roitberg; J. Martínez-Fernández,2021,"In countries where the economy relies mostly on agricultural-livestock activities, such as Argentina, droughts cause significant economic losses. Currently, the most-used drought indices by the Argentinian National Meteorological and Hydrological Services are based on field precipitation data, such as the standardized precipitation index (SPI) and the standardized precipitation evapotranspiration index (SPEI). In this article, we explored the performance of the satellite-based soil moisture agricultural drought index (SMADI) for agricultural drought detection in Argentina during 2010-2015, and compared it with the one from the standardized soil moisture anomalies (SSMA), SPI and SPEI (at one-month and three-month temporal scales), using the Agricultural Ministry's drought emergency database as a benchmark. The performances were analyzed in terms of the suitability of each index to be included in an early warning system for agricultural droughts, including true positive rate (TPR), and both false positive and false negative rates. In our experiments, SMADI showed the best overall performance, with the highest TPR and F1-score, and the second best false positive rate (FPR), positive predictive value, and overall accuracy. SMADI also showed the largest difference between TPR and FPR. SSMA showed the lowest FPR, but also the lowest TPR, making it not useful for an alert system. Furthermore, field precipitation-based indices, yet simple and widely used, showed not to be suitable indicators for detection of agricultural drought for Argentina, neither in the one-month nor in the three-month scale.",no,"The study is explicitly focused on Argentina, which is outside of Europe.",
10.1109/SYNASC51798.2020.00049,AgriSen - A Dataset for Crop Classification,T. Selea; M. -F. Pslaru,2020,"The large amount of collected data in the field of Earth Observation has created the need for automatization in processing and extraction information from it. Thus, deep learning (DL) techniques have gained popularity among the remote sensing community. Agriculture is one of the domains where DL can improve the current state-of-the-art. In this paper, we focus on the task of crop type classification, a key task in the process of assessing the agricultural market and yield. To this purpose, we introduce a new dataset, based on publicly available data (images from satellite Sentinel-2 and annotations from Land Parcel Identification System), to be used for further research in this field.",maybe,"The abstract introduces a new dataset using the Land Parcel Identification System (LPIS), which is European, but it does not explicitly state the geographical coverage of the dataset.",AgriSen
10.1109/COINS61597.2024.10622371,Smart Farming data and IoT in Support of Agricultural Policy Monitoring,N. Kalatzis; M. Paraskevopoulos; G. Routis; I. Roussaki,2024,"Building a “Common European Agricultural Data Space” lies among the high priorities of the European Commission for the agriculture sector following the directives of the recent European Strategy for Data. The aim is to create a single market for data, where data can flow within the EU and across sectors, for the benefit of all. Several authorities and approaches are in place for monitoring public and/or private agri-data and address the challenges of managing large-scale data infrastructures. However, what is missing is sufficient tools, models, and policies that would allow the seamless, transparent, and secure interoperation of existing agri-data infrastructures and platforms, which unfortunately remain isolated. While some attempts have been made to encourage interoperability, there are still major challenges to be addressed, both at technological and operational/business levels. On the technology side, one of the main barriers is due to the wide and heterogeneous landscape currently in place and the lack of dominant standardized solutions. This paper aims to present the main objectives and concepts of the DIVINE project, focusing on the mechanisms it provides for enabling agriculture policies monitoring based on smart farming data sharing and analytics, as well as adoption of various Internet of Things technologies.",maybe,"The abstract discusses the concept of a 'Common European Agricultural Data Space' and the DIVINE project, which aligns with the criteria. However, it is a conceptual paper and does not explicitly state the use or creation of a specific, tangible dataset.",Common European Agricultural Data Space
10.1109/JSTARS.2021.3073965,TimeSen2Crop: A Million Labeled Samples Dataset of Sentinel 2 Image Time Series for Crop-Type Classification,G. Weikmann; C. Paris; L. Bruzzone,2021,"This article presents TimeSen2Crop, a pixel-based dataset made up of more than 1 million samples of Sentinel 2 time series (TSs) associated to 16 crop types. This dataset, publicly available, aims to contribute to the worldwide research related to the supervised classification of TSs of Sentinel 2 data for crop type mapping. TimeSen2Crop includes atmospherically corrected images and reports the snow, shadows, and clouds information per labeled unit. The provided TSs represent an agronomic year (i.e., period from one year's harvest to the next one for agricultural commodity) ranging from September 2017 to August 2018. To generate the dataset, the publicly available Austrian crop type map based on farmer's declarations has been considered. To ensure the selection of reliable labeled units from the map (i.e., pure pixels correctly associated to their labels), an automatic procedure for the extraction of the training set based on a multitemporal deep learning model has been defined. TimeSen2Crop also includes a TS of Sentinel 2 images acquired in the following agronomic year (i.e., from September 2018 to August 2019). These data are provided with the aim of attract more research activities for solving a typical challenge of the crop type mapping task: adapting multitemporal deep learning models to different year (domain adaptation). The design of the dataset is described along with a benchmark comparison of deep learning models for crop type mapping.",no,"The dataset described, TimeSen2Crop, has national coverage (Austria), which is an exclusion criterion.",
