"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Comparative Analysis of Different Classifiers on Fusion of Sentinel Datasets for Agriculture Land","N. Vyas; G. K. Sethi; S. Singh","Department of Computer Science, Punjabi University, Patiala, India; Department of Computer Science, Multani Mal Modi College, Patiala, India; University Institute of Engineering, Chandigarh University, Mohali, India",2024 4th International Conference on Technological Advancements in Computational Sciences (ICTACS),"21 Jan 2025","2024","","","1173","1177","Image fusion could adopt the optical and microwave images model to obtain more precise agricultural land cover information features by using the optical and microwave remote sensing sensors characteristics. The source of data has decided to take into account Sentinel-2 L2A and Sentinel-1 VH (Vertical-transmit and Horizontal-receive) datasets for testing image fusion classifiers used in the experiments. Different kinds of classifiers were used in this research. Among them, MDC stands for Minimum Distance Classifier, and Maximum Likelihood Classifier represents MLC. Lastly, a Support Vector Machine (SVM) was used during the fusion of the images to classify Land Use and determine the validity of these algorithms. A summary of the outputs will give an upper hand to the classifiers based on Support Vector Machines, with the accuracy reaching 95.67% and a kappa of 0.9191. The SVM classification algorithm during the study showed the dense vegetation, deciduous vegetation, water, and urban zones with shallow errors. MDC performed the task well in detecting the land use category with an accuracy of 91.70% and kappa of 0.8469. The opposite of the MDC classifier was that the accuracy was not the top level, as, in some ways, some water bodies were wrongly assigned as urban regions. MLC has the least promising result among other approaches and is in the last place in terms of accuracy, with 89.52% and a kappa value of 0.8281.","","979-8-3503-8749-0","10.1109/ICTACS62700.2024.10840995","European Space Agency's Copernicus; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10840995","Classification;Fusion Techniques;Sentinel-2;Microwave Data;Optical Data;Remote Sensing;Land Classification;Sentinel-1;Satellite Data","Support vector machines;Accuracy;Land surface;Vegetation mapping;Sentinel-1;Optical imaging;Classification algorithms;Optical sensors;Image fusion;Microwave imaging","","4","","19","IEEE","21 Jan 2025","","","IEEE","IEEE Conferences"
"SARSense: Analyzing air- and space-borne C- and L-band SAR backscattering signals to changes in soil and plant parameters of crops","D. Mengen; C. Montzka; T. Jagdhuber; A. Fluhrer; C. Brogi; S. Baum; D. Schüttemeyer; B. Bayat; H. Bogena; A. Coccia; G. Masalias; V. Trinkel; J. Jakobi; F. Jonard; Y. Ma; F. Mattia; D. Palmisano; U. Rascher; G. Satalino; M. Schumacher; C. Koyama; M. Schmidt; H. Vereecken","Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; German Aerospace Center, Microwaves and Radar Institute, Wessling, Germany; German Aerospace Center, Microwaves and Radar Institute, Wessling, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio- and Geosciences: Plant Sciences (IBG-2), Jülich, Germany; European Space Agency, Mission Science Division, Noordwijk, The Netherlands; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Metasensing BV, Noordwijk, The Netherlands; Metasensing BV, Noordwijk, The Netherlands; Forschungszentrum Jülich, Institute of Bio- and Geosciences: Plant Sciences (IBG-2), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Consiglio Nazionale delle Ricerche (CNR), Institute for Electromagnetic Sensing of the Environment (IREA), Bari, Italy; Consiglio Nazionale delle Ricerche (CNR), Institute for Electromagnetic Sensing of the Environment (IREA), Bari, Italy; Forschungszentrum Jülich, Institute of Bio- and Geosciences: Plant Sciences (IBG-2), Jülich, Germany; Consiglio Nazionale delle Ricerche (CNR), Institute for Electromagnetic Sensing of the Environment (IREA), Bari, Italy; Geodesy and Surveying, Aalborg University, Aalborg, Denmark; Tokyo Denki University, School of Science and Engineering, Tokyo, Japan; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany; Forschungszentrum Jülich, Institute of Bio-and Geosciences: Agrosphere (IBG-3), Jülich, Germany",2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,"12 Oct 2021","2021","","","6092","6095","The upcoming launch of the L-band Synthetic Aperture Radar (SAR) satellite mission Radar Observing System for Europe L-band SAR (ROSE-L) will enable multi-frequency SAR observations when combined with existing C-band satellite missions (e.g., Sentinel-1). Due to the different penetration depths of the SAR signals, multi-frequency SAR offers great potential for field-scale agricultural monitoring and the estimation of soil and plant parameters. The SARSense campaign, conducted between June and August 2019 at the Selhausen agricultural test site near Jülich, Germany, has yielded a comprehensive dataset that includes both air- and space-borne C- and L-band SAR data, extensive in-situ field measurements of soil and plant parameters as well as unmanned aerial systems (UAS)-based multispectral and thermal infrared measurements and cosmic neutron sensing observations. The study provides both, an insight into the strengths and limitations of the acquired dataset as well as an analysis of the different behaviour of C- and L-band backscattering on changing soil moisture and plant parameters for taproot crops and cereals.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9553399","European Space Agency (ESA)(grant numbers:4000125444/18/NL/LF,4000125402/18/NL/NA); German Ministry of Economic Affairs and Energy (BMWi); German Aerospace Center(grant numbers:50EE1914A/B); Japan Aerospace Exploration Agency (JAXA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553399","","Satellites;Soil measurements;Spaceborne radar;Plants (biology);Soil moisture;Crops;Thermal conductivity","","","","9","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Agricultural SandboxNL: A Crop Parcel Level Database Using Sentinel-1 SAR and Google Earth Engine","V. Kumar; M. Huber; M. Shorachi; B. Rommen; S. C. Steele-Dunne","Department of Water Management, Delft University of Technology, Delft, The Netherlands; European Space Agency (ESA-ESTEC), Noordwijk, The Netherlands; Department of Water Management, Delft University of Technology, Delft, The Netherlands; European Space Agency (ESA-ESTEC), Noordwijk, The Netherlands; Department of Geoscience and Remote Sensing, Delft University of Technology, Delft, The Netherlands",2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,"12 Oct 2021","2021","","","6284","6287","The systematic high temporal coverage of Sentinel-1 Synthetic Aperture Radar (SAR) is ideal for agricultural monitoring. The availability of these data on cloud computing infrastructure eliminates the need for massive computing power to process imagery. However, their distribution as SAR imagery still limits their accessibility for non-expert users. In Agricultural SandboxNL, Copernicus Sentinel-1 imagery on the Google Earth Engine (GEE) was mined to produce a database of spatially-tagged, parcel-level backscatter for every agricultural parcel in the Netherlands from 2017 to 2019. The database includes descriptors from the publicly available Basisregistratie Gewaspercelen, allowing the user to query the database by crop type and administrative boundary for any region of interest within The Netherlands. Publication of this database reduces the burden of processing and extracting a large volume of Sentinel-1 SAR data for experts. More importantly, it provides easy access to the Sentinel-1 data for agriculture/agronomy experts with limited SAR processing experience. In addition, the GEE package Sen1byParcel developed for Agricultural SandboxNL is made publicly available so that Sentinel-1 imagery can be extracted for any user-provided shapefile.","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9553571","European Space Agency (ESA)(grant numbers:5001025295); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553571","Crops;Google Earth Engine (GEE);Parcel;Sentinel-1","Earth;Systematics;Databases;Time series analysis;Crops;Data mining;Synthetic aperture radar","","1","","14","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Open weather data evaluation for crop irrigation prediction mechanisms in the AUGEIAS project","T. Karamitsou; D. Seventekidis; C. Karapiperis; K. Banti; I. Karampelia; T. Kyriakidis; M. Louta","Agrosense S.A Research and Development of Network Applications, Amyntaio, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece; Agrosense S.A Research and Development of Network Applications, Amyntaio, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece; Department of Electrical and Computer Engineering, University of Western Macedonia, Kozani, Greece","2022 7th South-East Europe Design Automation, Computer Engineering, Computer Networks and Social Media Conference (SEEDA-CECNSM)","1 Nov 2022","2022","","","1","4","Treated wastewater reuse is increasingly important for efficient and sustainable management of water resources due to increased water demands. Motivated by the above, AUGEIAS proposes an Internet of Things (IoT) approach for clean and treated wastewater usage in precision agriculture. In this context, real-time measurements for wastewater treatment plant and field are correlated with open data to improve crop water needs prediction mechanisms. This paper presents the open weather sources that are used and evaluates their reliability. After the open data is evaluated, it is integrated with the data collected by IoT sensors/devices. By using the mean absolute percentage error metric, we evaluate the forecasting performance of open weather sources. According to our study, OpenWeatherMap’s forecast data proved more accurate, with a success rate at 83.3%.","","979-8-3503-9858-8","10.1109/SEEDA-CECNSM57760.2022.9932913","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9932913","Internet of Things;low power wide-area networks;data integration point;open-data reliability","Irrigation;Power measurement;Area measurement;Weather forecasting;Crops;Wastewater;Internet of Things","","3","","14","IEEE","1 Nov 2022","","","IEEE","IEEE Conferences"
"A New European Settlement Map From Optical Remotely Sensed Data","A. J. Florczyk; S. Ferri; V. Syrris; T. Kemper; M. Halkia; P. Soille; M. Pesaresi","Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy; Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy; Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy; Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy; Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy; Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy; Institute for the Protection and Security of the Citizen (IPSC), Global Security and Crisis Management Unit, European Commission, Joint Research Centre (JRC), Ispra, Italy",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"19 May 2017","2016","9","5","1978","1992","An application of a general methodology for processing very high-resolution imagery to produce a European Settlement Map (ESM) in support of policy-makers is presented. The process mapped around 10 million km2 of the European continent. The input image data are satellite SPOT-5/6 pan-sharpened multispectral images of 2.5- and 1.5-m spatial resolution, respectively. This is the first time that remote sensing technology demonstrates capability to produce a continental information layer using 2.5-m input images. Moreover, it is the highest resolution continental map produced so far. The presented workflow is data-driven and consists in fully automatic image information extraction based on textural and morphological image analysis. The learning method allows the processing of high-resolution image data using coarse resolution thematic layers as reference. Validation shows an overall accuracy of 96% with omission and commission errors less than 4% and 1%, respectively.","2151-1535","","10.1109/JSTARS.2015.2485662","JRC institutional projects E-URBAN “European Urban Development and Territorial Cohesion”; GLOB-HS “Global Human Settlement Analysis for Disaster Risk Reduction”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7310857","Built-up density;characteristic-saliency-level (CSL);classification;European Settlement Map (ESM);global human settlement layer (GHSL);information fusion;multiscale learning;PANTEX;validation;Built-up density;characteristic-saliency-level (CSL);classification;European Settlement Map (ESM);global human settlement layer (GHSL);information fusion;multiscale learning;PANTEX;validation","Europe;Buildings;Remote sensing;Spatial resolution;Feature extraction;Roads","","43","","55","EU","28 Oct 2015","","","IEEE","IEEE Journals"
"Towards Safe and Sustainable Agricultural Reconstruction in Ukraine: Insights from Satellite-Based Crop Classification Maps","N. Kussul; A. Shelestov; H. Yailymova; B. Yailymov; K. Deininger; G. Lemoine","Department of Geographical Sciences, University of Maryland, Kyiv, Ukraine; Department of Mathematical Modelling and Data Analysis, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Kyiv, Ukraine; Department of Mathematical Modelling and Data Analysis, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Kyiv, Ukraine; Department of Space Information Technologies and Systems, Space Research Institute NAS Ukraine and SSA Ukraine, Kyiv, Ukraine; The World Bank, Washington, DC, United States; European Commission Joint Research Centre, Italy","2024 14th International Conference on Dependable Systems, Services and Technologies (DESSERT)","21 Aug 2025","2024","","","1","7","Ukraine, a significant contributor to the global agricultural market, has been severely affected by the ongoing war. Accurate information on land use changes, particularly in the agricultural sector, is crucial for assessing the extent of damage and guiding post-war reconstruction efforts. This study presents a robust methodology for crop classification and monitoring in Ukraine, utilizing a combination of Sentinel-1 and Sentinel-2 satellite data and ground truth datasets collected annually from 2016 to 2023. A Random Forest classifier implemented within the Google Earth Engine platform was employed, achieving overall accuracies exceeding 95% and F1 scores surpassing 92% for major crops. The resulting annual crop classification maps provide detailed information on the spatial distribution of various crop types and the impact of the war on Ukraine's agricultural sector. Comparison with global land cover products highlights our maps' superior consistency, detail, and reliability for comprehensive agricultural monitoring. The high correlation with official statistics underscores the potential of this methodology to inform policy decisions and support reconstruction efforts in Ukraine and other regions facing similar challenges.","","979-8-3315-1093-0","10.1109/DESSERT65323.2024.11122245","European Commission; National Research Foundation; Ministry of Education and Science; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11122245","Crop classification;Ukraine;Sentinel-1;Sentinel-2;Google Earth Engine;Random Forest;Land use change;Agricultural monitoring;War impact;Reconstruction","Earth;Accuracy;Satellites;Crops;Sentinel-1;Internet;Reliability;Monitoring;Random forests;Engines","","","","24","IEEE","21 Aug 2025","","","IEEE","IEEE Conferences"
"Sen4AgriNet: A Harmonized Multi-Country, Multi-Temporal Benchmark Dataset for Agricultural Earth Observation Machine Learning Applications","D. Sykas; I. Papoutsis; D. Zografakis","Institute of Astronomy, Astrophysics, Space Applications & Remote Sensing, National Observatory of Athens; Institute of Astronomy, Astrophysics, Space Applications & Remote Sensing, National Observatory of Athens; Institute of Astronomy, Astrophysics, Space Applications & Remote Sensing, National Observatory of Athens",2021 IEEE International Geoscience and Remote Sensing Symposium IGARSS,"12 Oct 2021","2021","","","5830","5833","This work introduces a one of its kind labeled Earth Observation based benchmark dataset, Sen4AgriNet, for agricultural applications in Europe. The dataset is labeled using farmer declarations for the period 2016–2020, available as open data only very recently. The Sen4AgriNet contains 42.5 million parcels hence is significantly larger than the existing archives and is tailored to be used as a training source in the context of deep learning. It consists of two sub-datasets: Object Aggregated Dataset (OAD) and Patches Assembled Dataset (PAD). OAD dataset capitalizes zonal statistics of each parcel, thus creating a powerful label-to-features instance for classification algorithms. On the other hand, PAD structure generalizes the classification problem to parcel extraction and semantic segmentation and labeling. Key advantages from other similar datasets are the inclusion of all bands, multicountry and multi-year time span, and standardization of the crop type taxonomy across Europe. Finally, we showcase the potential of Sen4AgriNet through machine learning experiments. All data and code are accessible here: https://sen4agrinet.space.noa.gr/","2153-7003","978-1-6654-0369-6","10.1109/IGARSS47720.2021.9553603","European Union's Horizon 2020 research and innovation projects(grant numbers:883284,101004188); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9553603","benchmark satellite dataset;crop type classification;deep learning;crop taxonomy","Earth;Deep learning;Training;Satellites;Taxonomy;Semantics;Europe","","8","","11","IEEE","12 Oct 2021","","","IEEE","IEEE Conferences"
"Data-Driven and Interoperable Smart Agriculture: An IoT-based Use-Case for Arable Crops","G. Routis; M. Paraskevopoulos; I. A. Vetsikas; I. Roussaki; D. Stavrakoudis; D. Katsantonis","Institute of Communication and Computer Systems, Athens, Greece; Institute of Communication and Computer Systems, Athens, Greece; Institute of Communication and Computer Systems, Athens, Greece; Institute of Communication and Computer Systems, Athens, Greece; Institute of Plant Breeding and Genetic Resources, Hellenic Agricultural Organization –""DEMETER"", Thermi Thessalonikis, Greece; Institute of Plant Breeding and Genetic Resources, Hellenic Agricultural Organization –""DEMETER"", Thermi Thessalonikis, Greece",2022 IEEE International Conference on Omni-layer Intelligent Systems (COINS),"18 Aug 2022","2022","","","1","8","The sustainability of the agricultural sector relies on exploiting all technologies available today (and further advancing them), in order to decrease the costs and the environmental impact, maintaining yields at the same time. DEMETER is a Horizon 2020 project that aspires to empower farmers to better exploit their existing operational context and create new business models through smart data sharing in the agricultural sector, in an interoperable, reusable, and safe manner. This paper presents a specific use-case that uses the facilities developed in order to optimize rice and maize irrigation and fertilization management processes. It provides an overview of the project’s objectives and concepts and then describes the various modules of the specific use-case and how they cooperate to establish suitable decision support mechanisms. Finally, it elaborates on how the development of other similar services reusing the individual building blocks, in an interoperable and vendor-neutral manner, is facilitated.","","978-1-6654-8356-8","10.1109/COINS54846.2022.9855001","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9855001","smart agriculture;Internet of Things;interoperability;data-driven;arable crops","Smart agriculture;Irrigation;Costs;Crops;Data models;Sustainable development;Intelligent systems","","3","","11","IEEE","18 Aug 2022","","","IEEE","IEEE Conferences"
"Classification of Winter Land Cover in New Zealand Hill Country for Risky Practice Identification","A. Amies; S. Belliss; H. North; D. Pairman; J. Dymond; J. Schindler; J. Shepherd; J. Drewry","Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand; Manaaki Whenua - Landcare Research, New Zealand",IGARSS 2020 - 2020 IEEE International Geoscience and Remote Sensing Symposium,"17 Feb 2021","2020","","","2751","2754","Research in New Zealand indicates that winter forage grazing on steep land creates a high risk of sediment loss. This loss can have a significant impact on sediment and associated nutrient content of waterways. A national-scale map of winter forage cropping on land with slope of greater than 7° was created using spectral and temporal analysis of Sentinel-2 imagery. Images between March and September 2018 were masked for cloud, cloud shadow, and snow using a time-series-controlled layer. Land cover classification using maximum likelihood estimation was applied. Field boundaries were generated using the temporal image stack so that field-level homogeneity could be exploited. The mode classification per-polygon and bare ground observation dates allowed polygons totaling 0.69% of New Zealand's agricultural hill country to be stratified into three certainty levels of risky agricultural practice. For the first time, extent and spatial distribution of these practices have been estimated for policy development.","2153-7003","978-1-7281-6374-1","10.1109/IGARSS39084.2020.9323159","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9323159","Land cover classification;Sentinel-2;winter forage;image segmentation;cloud masking","Agriculture;Maximum likelihood estimation;Sediments;Clouds;Soil;Vegetation mapping;Pipelines","","","","9","IEEE","17 Feb 2021","","","IEEE","IEEE Conferences"
"The Greek Soil Data Cube in Support of Generating Soil Related Analysis Ready Data","E. Kalopesa; N. L. Tsakiridis; G. Boletos; N. Tziolas; G. C. Zalidis","SpectraLab Group, Laboratory of Remote Sensing, Spectroscopy, and GIS, School of Agriculture, Aristotle University of Thessaloniki, Thermi, Greece; SpectraLab Group, Laboratory of Remote Sensing, Spectroscopy, and GIS, School of Agriculture, Aristotle University of Thessaloniki, Thermi, Greece; SpectraLab Group, Laboratory of Remote Sensing, Spectroscopy, and GIS, School of Agriculture, Aristotle University of Thessaloniki, Thermi, Greece; Department of Soil and Water Sciences, Institute of Food and Ecosystem Sciences, Southwest Florida Research and Education Center, University of Florida, Immokalee, Florida, United States of America; SpectraLab Group, Laboratory of Remote Sensing, Spectroscopy, and GIS, School of Agriculture, Aristotle University of Thessaloniki, Thermi, Greece",IGARSS 2023 - 2023 IEEE International Geoscience and Remote Sensing Symposium,"20 Oct 2023","2023","","","5363","5366","Analysis-ready data generated through datacube approaches are essential in Earth Observation (EO) data analysis. By pre-processing and organizing large volumes of satellite imagery into spatio-temporal datacubes, analysis-ready data facilitates efficient and streamlined analysis workflows, enabling quick access and manipulation of the multi-dimensional EO data. This allows researchers, scientists, and stakeholders to focus on analyzing the data, detecting trends, monitoring changes, and deriving actionable information. In this paper, we describe the architecture of the Greek Soil Data Cube which ingests Sentinel-2 data from the entire country and generates the annual bare soil reflectance composites which in turn may be used to predict soil physicochemical properties using artificial intelligence techniques.","2153-7003","979-8-3503-2010-7","10.1109/IGARSS52108.2023.10281582","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10281582","datacube;spectroscopy;remote sensing;SOC;soil health","Reflectivity;Earth;Geoscience and remote sensing;Soil;Streaming media;Market research;Sensors","","4","","6","USGov","20 Oct 2023","","","IEEE","IEEE Conferences"
