DOI,Title,Authors,Year,Abstract,Include,Reason,Data Source
10.1109/JSTARS.2015.2417832,The Impact of National Land Cover and Soils Data on SMOS Soil Moisture Retrieval Over Canadian Agricultural Landscapes,A. Pacheco; H. McNairn; A. Mahmoodi; C. Champagne; Y. H. Kerr,2015,"To ensure sustainable agriculture production, the availability of water in the right quantity and at the right time is critical, with extremes in availability resulting in severe impacts on the agricultural sector. Delivery of timely and accurate soil moisture data can play a vital role in monitoring the status of available water reserves for this sector. Passive microwave sensors, such as the Soil Moisture and Ocean Salinity (SMOS), are well suited for monitoring vast landscapes given their all-weather capabilities, large spatial footprint, frequent revisit, and the sensitivity of microwave emissions to the soil dielectric. This study examines the impact of exploiting Canadian soil and land cover datasets in the retrieval of soil moisture from SMOS over an agricultural area in the province of Manitoba (Canada). Results demonstrate that global datasets that are integrated within the current SMOS processor perform adequately when field measured soil moisture is compared to estimates of soil moisture by SMOS (R2 of 0.70 (p <; .01) and root-mean-square error (RMSE) of 7.15% with a negative (dry) bias of -0.05%). Overall, this study showed that ingesting high-quality national datasets into the SMOS soil moisture retrieval algorithm did not fully resolve the underestimation of soil moisture, suggesting that further investigation is required to understand this bias. Also, several approaches were evaluated to improve statistical field-derived soil moisture representation in the validation of SMOS soil moisture retrieval and it is clear that good representation of soil moisture as a function of soil textures is crucial to accurately validate SMOS soil moisture products.",no,"The study explicitly uses national datasets (Canadian soil and land cover), which violates the global coverage exclusion criterion.",
10.1109/IGARSS.2018.8518014,Evaluation of Land Surface Model Against Smap and In-Situ Observations for Indian Region,K. Das; J. Singh; J. Hazra; S. Kalyanaraman,2018,"Soil moisture and temperature are key inputs to several precision agricultural applications such as irrigation scheduling, identifying crop health, pest and disease prediction, yield and acreage estimation, etc. The existing remote sensing satellites based soil moisture products such as SMAP are of coarse resolution and physics based land surface model such as NL-DAS, GLDAS are also of coarse resolution as well as not available for real time applications. Keeping this in focus, we have customized high resolution land data assimilation system (HRLDAS) for India. The customization involve: (1) use of Global Data Assimilation System (GDAS) dataset for dynamic forcing fields, (2) ability to ingest local information about the soil characteristics (3) high resolution USGS land-cover and other static datasets, amongst others. In this paper, we present the performance of the customized model against SMAP soil moisture data and local sensors observations. The first results from the comparison shows a significantly reduced errors in model results. The RMSE for LSM generated outputs are less than 2%, whereas SMAP gives 4-5 % error for soil moisture.",yes,"The abstract mentions the use of several global datasets (SMAP, NL-DAS, GLDAS, GDAS, USGS) for an agricultural application.",SMAP;NL-DAS;GLDAS;Global Data Assimilation System;USGS land-cover
10.1109/TEMSMET51618.2020.9557403,A Comprehensive Survey of Classification Algorithms for Formulating Crop Yield Prediction Using Data Mining Techniques,C. Chandana; G. Parthasarathy,2020,"As we are aware that agriculture is one of the occupations that have a high impact on the countries economy and hence the crop productivity plays a major role. According to the latest survey, today agriculture contributes 17 percent of our countries GDP and about 60 percent of the peoples in the county are dependent on agriculture for their daily needs. The farmers are the backbone of the country; they play a vital role in feeding the entire population of the world. Farming is a beautiful relation between the farmer and the soil; the process of farming is an art that involves various techniques and practices, the productivity of the crop depends on various factors that include soil fertility, weather condition, harvesting period and the practices the farmer follow. In the current situation, the farmers are struggling to get an expected yield from the crop because of various reasons that include large climatic changes and lack of guidance. The objective of this study is to collect the historical data of agriculture, analyze them to predict the crop yield. With the advancement in today’s technology, it is possible to provide suggestion to the farmer regarding the crop selection and the practices to get expected crop yield. One such technique that is gaining more popularity in the field of agriculture is data mining. Data mining uses the large historical data sets to create a new pattern to obtain the knowledge that helps in suggesting the farmers on selecting the crops depending on various available parameters and also helps in estimating the production of the crops.",no,"The abstract is for a survey paper and refers to 'historical data' in a generic sense without mentioning any specific, identifiable dataset.",
10.1109/IDAACS.2017.8095109,Land degradation estimation from global and national satellite based datasets within UN program,N. Kussul; A. Kolotii; A. Shelestov; B. Yailymov; M. Lavreniuk,2017,"In this paper, we investigate global and national level datasets, used to estimate trends in land cover and in land productivity in Ukraine within Land Degradation Neutrality (LDN) Target Setting Programme of United Nations Convention to Combat Desertification (UNCCD). To assess land cover changes, the ESA CCI-LC 2000 and 2010 epochs are used, focusing on changes between the 6 main land cover categories. The JRC's Land Productivity Dynamics (LPD) dataset is used as default source for land productivity data. The LPD dataset is derived from a 15-year time series (1999 to 2013) of global NDVI observations composited in 10-day intervals at a spatial resolution of 1 km. To improve the resolution of satellite based products at national level we use regional land cover datasets for Ukraine developed by Space Research Institute (SRI) and available for 1990, 2000 and 2010 respectively. They are developed according to international standards (LUCAS classification) and are comparable with ESA CCI-LC in terms of class nomenclature and notations. These land cover maps at 30 m spatial resolution have been developed for the whole territory of Ukraine based on the Landsat-4/5/7 images for three decades, namely 1990s, 2000s and 2010s within FP-7 SIGMA Project. They are based on our Machine Learning approach for classification of time series of satellite data.",yes,"The abstract mentions the use of global datasets, such as ESA CCI-LC and JRC's Land Productivity Dynamics (LPD), for land cover and productivity analysis.",ESA CCI-LC;Land Productivity Dynamics;Landsat
10.1109/MetroAgriFor52389.2021.9628717,"Improving accuracy and efficiency in plant detection on a novel, benchmarking real-world dataset",L. Ohnemüller; A. Briassouli,2021,"Detecting plants in images is central in precision agriculture, but can be challenging due to their small size, similarities in appearance, varying lighting and environmental conditions. Moreover, computational capacity in real-world settings may be limited. This work examines how accurate, computationally efficient real-time plant detection can be achieved on the large and varied benchmarking Open Plant Phenotyping Database, by building upon the State-of-the-Art (SoA) Scaled YOLO v4 real-time object detection model. The effect of pre-processing, namely cropping unnecessary information and increasing contrast, is examined and experimentally shown to improve both accuracy and efficiency. Transfer learning is also leveraged for the deployment of Scaled YOLO v4, using pre-trained weights from the MS COCO data set, and shown to lead to a moderate improvement in accuracy. The proposed final model results in approximately 10% higher accuracy than the existing baseline model, on a representative subset of about half of images in the Open Plant Phenotyping Database. Experiments show that plant detection accuracy is improved for most well represented samples, with errors appearing in particularly challenging cases or caused by data imbalance. This shows the proposed method has significant potential for highly accurate and computationally efficient plant detection in real-world environments.",maybe,"The abstract mentions the 'Open Plant Phenotyping Database', but its geographic coverage is not specified, making it unclear if it meets the global coverage criterion.",Open Plant Phenotyping Database;MS COCO
10.1109/CISP.2015.7407981,Land-use/cover change of the mongolian plateau from 2001 to 2011 by remote sensing,Y. Zhang; Q. Liu; G. Liu; C. Huang; Z. Gui,2015,"With the aid of the remote sensing technology, the land use/cover change data between 2001 and 2010 were obtained. We selected a type of the MODIS global land cover products, the IGBP product, through compare the MODIS global land cover products on the accuracy from the aspect of quantity precision products, taking the 30-m Global Land Cover Dataset as reference data. The spatial and temporal characteristics of the Mongolian Plateau were revealed by analyzing the changing process. The results indicated that the structure of land use in the Mongolian Plateau has an obvious change over that period. In particular, the area of cultivated land and desert decreased while the grassland and forest expanded significantly. The spatial pattern of the land cover change, which is from 2001 to 2011 was gained and we found that the intensity of variation ranged with locations. The northland has a more serious change than southland. Similarly, the eastern region has experienced a greater change than the western, especially in the pediment plain of northeast regions. In conclusion. the land use pattern in Mongolian Plateau has become better over the ten years.",yes,"The abstract states the use of global datasets, specifically 'MODIS global land cover products' and the '30-m Global Land Cover Dataset', for an agriculture-related analysis.",MODIS global land cover products;30-m Global Land Cover Dataset
10.1109/TGRS.2023.3247428,Temporal Upscaling of MODIS 1-km Instantaneous Land Surface Temperature to Monthly Mean Value: Method Evaluation and Product Generation,X. Liu; Z. -L. Li; J. -H. Li; P. Leng; M. Liu; M. Gao,2023,"The monthly mean land surface temperature (MMLST) reflects more stable intra- and interannual temperature variations, and therefore, it has a wider range of applications than instantaneous land surface temperature (LST). This study aimed to generate a high-resolution global MMLST product by temporally upscaling the Moderate Resolution Imaging Spectroradiometer (MODIS) 1-km instantaneous LST. First, six current methods were comprehensively evaluated using cross-validation technology. These six methods are the cross combinations of two temporal aggregation schemes: the average by observations (ABO) and average by days (ABD), and three conversion models: the diurnal temperature cycle model (DTC), the simple average of two instantaneous LSTs (TSA), and a weighted average model for multiple instantaneous LSTs (MWA). The analysis with measurements from 235 flux stations worldwide revealed that the choice of conversion model considerably affected the overall retrieval accuracy, whereas the influence of the aggregation scheme was minor. From the conversion model standpoint, MWA performed best, followed by DTC, and finally TSA; this order remained the same even if DTC and TSA were improved with mean bias correction. Notably, the errors of ABDMWA decreased as the number of daily mean LST (NOD) increased, whereas the errors of ABOMWA were not related to NOD. Accordingly, we deduced that the optimal strategy for estimating MMLST is using ABOMWA when NOD is < 20 and ABDMWA when NOD is  $\ge 20$ . Subsequently, we adopted this combination method to process MODIS instantaneous LSTs and produced a global 1-km MMLST dataset for the years 2003–2020. The validation showed a satisfactory accuracy with a root mean square error (RMSE) of 1.6 K. The intercomparison with MMLSTs from geostationary (GEO) satellites (containing complete LST daily cycle) presented a good agreement (biases < 0.3 K and STDs < 2 K). Compared with atmospheric infrared sounder (AIRS) L3 monthly standard physical retrieval (AIRS3STM) product which had the same temporal span, the newly generated product exhibited a high consistency in reflecting temporal variations of global temperature. Most importantly, it had a prominently better ability to retrieve spatial details of temperature variations due to its higher resolution. Our new method and product show promising prospects for applications in global change studies, where accurate spatially resolved MMLST data are one of the fundamental geophysical variables required.",yes,"The paper describes the production of a new 'global 1-km MMLST dataset' using global data sources like MODIS and AIRS, which are relevant to agriculture.",MODIS;Atmospheric Infrared Sounder
10.1109/IRC.2019.00029,Crop and Weeds Classification for Precision Agriculture Using Context-Independent Pixel-Wise Segmentation,M. Fawakherji; A. Youssef; D. Bloisi; A. Pretto; D. Nardi,2019,"Precision agriculture is gaining increasing attention because of the possible reduction of agricultural inputs (e.g., fertilizers and pesticides) that can be obtained by using hightech equipment, including robots. In this paper, we focus on an agricultural robotics system that addresses the weeding problem by means of selective spraying or mechanical removal of the detected weeds. In particular, we describe a deep learning based method to allow a robot to perform an accurate weed/crop classification using a sequence of two Convolutional Neural Networks (CNNs) applied to RGB images. The first network, based on an encoder-decoder segmentation architecture, performs a pixelwise, plant-type agnostic, segmentation between vegetation and soil that enables to extract a set of connected blobs representing plant instances. We show that such network can be trained also using external, ready to use pixel-wise labeled data sets coming from different contexts. Each plant is hence classified between crop and weeds by using the second network. Quantitative experimental results, obtained on real world data, demonstrate that the proposed approach can achieve good classification results also on challenging images.",no,"The abstract mentions using 'external, ready to use pixel-wise labeled data sets' but does not name them or specify their geographic coverage, failing to meet the inclusion criteria of an identifiable dataset.",
10.1109/DICTA63115.2024.00106,Wheat Rust Disease Segmentation from Ground Imagery,H. Anwar; M. J. Khan; M. Fayyaz; A. S. Mian; F. Shafait,2024,"Wheat rust disease is a major agricultural threat, causing significant yield losses globally. Precision agriculture and autonomous robot systems represent pivotal advancements in modern farming and disease detection, leveraging technology to enhance crop management, optimize resource use, and improve productivity. These systems rely heavily on accurate and comprehensive data to train effectively. However, current datasets often fall short of meeting the specific needs of these advanced agricultural technologies. This paper addresses this gap by introducing a primary contribution in the form of an open-source dataset focused on wheat rust disease segmentation for precision agriculture. Open-source datasets in literature are either general plant disease datasets or wheat disease classification datasets. Our proposed wheat rust segmentation dataset, Focussed Rust Disease Images (FRDI), provides close-up views of disease manifestations on wheat leaves, capturing the natural variability and complexity of diseases in field conditions, thereby meeting the requirements of precision agriculture systems. This facilitates detailed analysis and effective training of deep learning models designed for disease detection and segmentation tasks for real-world agricultural environments. Furthermore, in our work we present an improved wheat rust disease detection and segmentation technique which is based on the concept of co-salient feature extraction for disease identification within complex and cluttered field images. By integrating localized and generic contextual information, our proposed approach effectively identifies key features and intricate patterns associated with wheat rust disease.",no,"The paper introduces a new dataset of ground imagery (FRDI), which is unlikely to have the required global coverage.",
10.1109/TGRS.2017.2734070,Triple Collocation-Based Merging of Satellite Soil Moisture Retrievals,A. Gruber; W. A. Dorigo; W. Crow; W. Wagner,2017,"We propose a method for merging soil moisture retrievals from spaceborne active and passive microwave instruments based on weighted averaging taking into account the error characteristics of the individual data sets. The merging scheme is parameterized using error variance estimates obtained from using triple collocation analysis (TCA). In regions where TCA is deemed unreliable, we use correlation significance levels ( $p$ -values) as indicator for retrieval quality to decide whether to use active data only, passive data only, or an unweighted average. We apply the proposed merging scheme to active retrievals from advanced scatterometer and passive retrievals from the Advanced Microwave Scanning Radiometer—Earth Observing System using Global Land Data Assimilation System-Noah to complement the triplet required for TCA. The merged time series is evaluated against soil moisture estimates from ERA-Interim/Land and in situ measurements from the International Soil Moisture Network using the European Space Agency’s (ESA’s) current Climate Change Initiative—Soil Moisture (ESA CCI SM) product version v02.3 as benchmark merging scheme. Results show that the  $p$ -value classification provides a robust basis for decisions regarding using either active or passive data alone, or an unweighted average in cases where relative weights cannot be estimated reliably, and that the weights estimated from TCA in almost all cases outperform the ternary decision upon which the ESA CCI SM v02.3 is based. The proposed method forms the basis for the new ESA CCI SM product version v03.x and higher.",yes,"The abstract describes the merging and validation of several global datasets (AMSR-E, GLDAS, ERA-Interim/Land, ESA CCI SM) for soil moisture analysis.",Advanced Microwave Scanning Radiometer—Earth Observing System;Global Land Data Assimilation System;ERA-Interim/Land;International Soil Moisture Network;ESA Climate Change Initiative Soil Moisture
