"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Impact of National Land Cover and Soils Data on SMOS Soil Moisture Retrieval Over Canadian Agricultural Landscapes","A. Pacheco; H. McNairn; A. Mahmoodi; C. Champagne; Y. H. Kerr","Agriculture and Agri-Food Canada, Ottawa, ON, Canada; Agriculture and Agri-Food Canada, Ottawa, ON, Canada; CESBIO-CNES-CNRS-IRD-Université, Toulouse, France; Agriculture and Agri-Food Canada, Ottawa, ON, Canada; CESBIO-CNES-CNRS-IRD-Université, Toulouse, France",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"20 May 2017","2015","8","11","5281","5293","To ensure sustainable agriculture production, the availability of water in the right quantity and at the right time is critical, with extremes in availability resulting in severe impacts on the agricultural sector. Delivery of timely and accurate soil moisture data can play a vital role in monitoring the status of available water reserves for this sector. Passive microwave sensors, such as the Soil Moisture and Ocean Salinity (SMOS), are well suited for monitoring vast landscapes given their all-weather capabilities, large spatial footprint, frequent revisit, and the sensitivity of microwave emissions to the soil dielectric. This study examines the impact of exploiting Canadian soil and land cover datasets in the retrieval of soil moisture from SMOS over an agricultural area in the province of Manitoba (Canada). Results demonstrate that global datasets that are integrated within the current SMOS processor perform adequately when field measured soil moisture is compared to estimates of soil moisture by SMOS (R2 of 0.70 (p <; .01) and root-mean-square error (RMSE) of 7.15% with a negative (dry) bias of -0.05%). Overall, this study showed that ingesting high-quality national datasets into the SMOS soil moisture retrieval algorithm did not fully resolve the underestimation of soil moisture, suggesting that further investigation is required to understand this bias. Also, several approaches were evaluated to improve statistical field-derived soil moisture representation in the validation of SMOS soil moisture retrieval and it is clear that good representation of soil moisture as a function of soil textures is crucial to accurately validate SMOS soil moisture products.","2151-1535","","10.1109/JSTARS.2015.2417832","Canadian Space Agency (CSA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7117334","Agriculture;brightness temperature;land surface;monitoring;passive microwave remote sensing;surface texture;soil moisture;Agriculture;brightness temperature;land surface;monitoring;passive microwave remote sensing;surface texture;soil moisture","Soil moisture;Soil measurements;Agriculture;Soil texture;Moisture measurement;Passive microwave remote sensing;Brightness temperature","","14","","40","Crown","3 Jun 2015","","","IEEE","IEEE Journals"
"Evaluation of Land Surface Model Against Smap and In-Situ Observations for Indian Region","K. Das; J. Singh; J. Hazra; S. Kalyanaraman","IBM Research, India; IBM Research, India; IBM Research, India; IBM Research, India",IGARSS 2018 - 2018 IEEE International Geoscience and Remote Sensing Symposium,"4 Nov 2018","2018","","","92","95","Soil moisture and temperature are key inputs to several precision agricultural applications such as irrigation scheduling, identifying crop health, pest and disease prediction, yield and acreage estimation, etc. The existing remote sensing satellites based soil moisture products such as SMAP are of coarse resolution and physics based land surface model such as NL-DAS, GLDAS are also of coarse resolution as well as not available for real time applications. Keeping this in focus, we have customized high resolution land data assimilation system (HRLDAS) for India. The customization involve: (1) use of Global Data Assimilation System (GDAS) dataset for dynamic forcing fields, (2) ability to ingest local information about the soil characteristics (3) high resolution USGS land-cover and other static datasets, amongst others. In this paper, we present the performance of the customized model against SMAP soil moisture data and local sensors observations. The first results from the comparison shows a significantly reduced errors in model results. The RMSE for LSM generated outputs are less than 2%, whereas SMAP gives 4-5 % error for soil moisture.","2153-7003","978-1-5386-7150-4","10.1109/IGARSS.2018.8518014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8518014","Soil moisture;Soil temperature;Land surface model (LSM);Soil Moisture Active Passive (SMAP);Soil sensor","Soil moisture;Temperature sensors;Land surface;Temperature measurement;Data models","","5","","12","IEEE","4 Nov 2018","","","IEEE","IEEE Conferences"
"A Comprehensive Survey of Classification Algorithms for Formulating Crop Yield Prediction Using Data Mining Techniques","C. Chandana; G. Parthasarathy","Research Schalor, Computer Science and Engineering, REVA University, Bangalore, Karnataka, India; School of Computing & Information Technology, REVA University, Bangalore, Karnataka, India","2020 IEEE International Conference on Technology, Engineering, Management for Societal impact using Marketing, Entrepreneurship and Talent (TEMSMET)","6 Oct 2021","2020","","","1","5","As we are aware that agriculture is one of the occupations that have a high impact on the countries economy and hence the crop productivity plays a major role. According to the latest survey, today agriculture contributes 17 percent of our countries GDP and about 60 percent of the peoples in the county are dependent on agriculture for their daily needs. The farmers are the backbone of the country; they play a vital role in feeding the entire population of the world. Farming is a beautiful relation between the farmer and the soil; the process of farming is an art that involves various techniques and practices, the productivity of the crop depends on various factors that include soil fertility, weather condition, harvesting period and the practices the farmer follow. In the current situation, the farmers are struggling to get an expected yield from the crop because of various reasons that include large climatic changes and lack of guidance. The objective of this study is to collect the historical data of agriculture, analyze them to predict the crop yield. With the advancement in today’s technology, it is possible to provide suggestion to the farmer regarding the crop selection and the practices to get expected crop yield. One such technique that is gaining more popularity in the field of agriculture is data mining. Data mining uses the large historical data sets to create a new pattern to obtain the knowledge that helps in suggesting the farmers on selecting the crops depending on various available parameters and also helps in estimating the production of the crops.","","978-1-6654-0482-2","10.1109/TEMSMET51618.2020.9557403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9557403","Farming;Farmer;Crop Selection;Crop yield;Soil fertility;weather condition;Crop prediction;Data mining","Productivity;Engineering management;Sociology;Crops;Entrepreneurship;Soil;Agriculture","","8","","26","IEEE","6 Oct 2021","","","IEEE","IEEE Conferences"
"Land degradation estimation from global and national satellite based datasets within UN program","N. Kussul; A. Kolotii; A. Shelestov; B. Yailymov; M. Lavreniuk","Space Research Institute NASU-SSAU, Kyiv, Ukraine; Space Research Institute NASU-SSAU, Kyiv, Ukraine; Space Research Institute NASU-SSAU, Kyiv, Ukraine; Space Research Institute NASU-SSAU, 03360, prosp. Glushkova, 40, build. 4/1, Kyiv, Ukraine; Space Research Institute NASU-SSAU, Kyiv, Ukraine",2017 9th IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems: Technology and Applications (IDAACS),"7 Nov 2017","2017","1","","383","386","In this paper, we investigate global and national level datasets, used to estimate trends in land cover and in land productivity in Ukraine within Land Degradation Neutrality (LDN) Target Setting Programme of United Nations Convention to Combat Desertification (UNCCD). To assess land cover changes, the ESA CCI-LC 2000 and 2010 epochs are used, focusing on changes between the 6 main land cover categories. The JRC's Land Productivity Dynamics (LPD) dataset is used as default source for land productivity data. The LPD dataset is derived from a 15-year time series (1999 to 2013) of global NDVI observations composited in 10-day intervals at a spatial resolution of 1 km. To improve the resolution of satellite based products at national level we use regional land cover datasets for Ukraine developed by Space Research Institute (SRI) and available for 1990, 2000 and 2010 respectively. They are developed according to international standards (LUCAS classification) and are comparable with ESA CCI-LC in terms of class nomenclature and notations. These land cover maps at 30 m spatial resolution have been developed for the whole territory of Ukraine based on the Landsat-4/5/7 images for three decades, namely 1990s, 2000s and 2010s within FP-7 SIGMA Project. They are based on our Machine Learning approach for classification of time series of satellite data.","","978-1-5386-0697-1","10.1109/IDAACS.2017.8095109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8095109","Land Degradation Neutrality;Land Cover Change;Land Productivity;Remote Sensing","Satellites;Productivity;Remote sensing;Spatial resolution;Earth;Monitoring;Agriculture","","11","","21","IEEE","7 Nov 2017","","","IEEE","IEEE Conferences"
"A global dataset of noiseless time-series vegetation and water indices for farmland analysis","A. Kotera; S. Berberoglu; T. Nagano; M. A. Cullu","Research Department, Research Institute for Humanity and Nature, Kyoto, Japan; Department of Landscape Architecture, Cukurova University, Adana, Turkey; Graduate School of Agricultural Science, Kobe University, Kobe, Japan; Department of Soil Science and Plant Nutrition, Harran University, Sanliurfa, Turkey",2015 Fourth International Conference on Agro-Geoinformatics (Agro-geoinformatics),"10 Sep 2015","2015","","","173","177","Time-series vegetation and water indices derived from remote sensing images are crucial materials for farmland analysis based on crop phenology and monitoring such as classification of cropping patterns and monitoring of crop growth and productivities. However, the optical remote-sensing images often contain problematic pixels, such as those affected by thick clouds and its shadows, resulting a noisy time-series data which is inadequate to use for farmland analysis. Lack of the high quality noiseless time-series data products have been a bottleneck for many studies on farmland analysis using remote-sensing data in both of global and local scales. Hence we aims in this study to produce remote-sensing data archives containing noiseless smoothed time-series Normalized Vegetation Index (NDVI), Enhanced Vegetation Index (EVI), Land Surface Water Index (LSWI), and RGB composite (true color) image, covering global wide with the adequately downscaled 250-m resolution in 8-days interval from the period of 2000 to 2014 and up-to-date, derived from based on the Moderate Resolution Imaging Spectroradiometer (MODIS) sensor images. The processing system for generating the global noiseless time-series data in this study is consist of four modules; image acquisition, preprocessing, noise reduction, and data archiving, implemented in Interactive Data Language (IDL) with PDP (Parallel Distributed Processing). Data products are derived from two sets of Terra/MODIS surface-reflectance 8-day composite data (MOD09Q1 v005 (250-m resolution) and MOD09A1 v005 (500-m resolution)) acquired from LP DAAC (Land Processes Distributed Active Archive Center, USGS) on a regular basis automatically to update the latest products. To generate noiseless and smooth time-series data, we applied following well-established procedure: 1) Eliminate cloud and sensor noise pixels by referring the image quality information: 2) Reconstruct daily time-series data by referring the actual date of observation for each pixels: 3) Synthesize daily time-series Terra and Aqua: 4) Interpolate eliminated pixel value on time-series axis by liner interpolation method: 5) Apply the Savitzky-Golay filtering to time-series data to produce smoothed time-series data. Denoised true color image can be used for visually checking the quality of noise reduction. Data products are mapped by MODIS Sinusoidal Tiling System, and archived with Hierarchical Data Format-Earth Observing System (HDF-EOS) format containing various meta-information, which are the standard archive format for MODIS Land products distributed by USGS, so that users can use existing favorite tools such the MODIS Reprojection Tool (MRT) for handling the archives. The advanced noiseless time-series vegetation and water indices data archives produced in this study would contribute significantly to advanced analysis and monitoring of the crop production.","","978-1-4673-8087-4","10.1109/Agro-Geoinformatics.2015.7248132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7248132","EVI;LSWI;MODIS;NDVI;phenology;remote-sensing;true color image","MODIS;Vegetation mapping;Indexes;Remote sensing;Reflectivity;Distributed databases;Agriculture","","","","6","IEEE","10 Sep 2015","","","IEEE","IEEE Conferences"
"Improving accuracy and efficiency in plant detection on a novel, benchmarking real-world dataset","L. Ohnemüller; A. Briassouli","Department of Data Science and Knowledge Engineering, Maastricht University, Maastricht, Netherlands; Department of Data Science and Knowledge Engineering, Maastricht University, Maastricht, Netherlands",2021 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"3 Dec 2021","2021","","","172","176","Detecting plants in images is central in precision agriculture, but can be challenging due to their small size, similarities in appearance, varying lighting and environmental conditions. Moreover, computational capacity in real-world settings may be limited. This work examines how accurate, computationally efficient real-time plant detection can be achieved on the large and varied benchmarking Open Plant Phenotyping Database, by building upon the State-of-the-Art (SoA) Scaled YOLO v4 real-time object detection model. The effect of pre-processing, namely cropping unnecessary information and increasing contrast, is examined and experimentally shown to improve both accuracy and efficiency. Transfer learning is also leveraged for the deployment of Scaled YOLO v4, using pre-trained weights from the MS COCO data set, and shown to lead to a moderate improvement in accuracy. The proposed final model results in approximately 10% higher accuracy than the existing baseline model, on a representative subset of about half of images in the Open Plant Phenotyping Database. Experiments show that plant detection accuracy is improved for most well represented samples, with errors appearing in particularly challenging cases or caused by data imbalance. This shows the proposed method has significant potential for highly accurate and computationally efficient plant detection in real-world environments.","","978-1-6654-0533-1","10.1109/MetroAgriFor52389.2021.9628717","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9628717","precision farming;object detection;transfer learning;YOLO;plant classification","Databases;Computational modeling;Plants (biology);Transfer learning;Object detection;Benchmark testing;Data models","","2","","18","IEEE","3 Dec 2021","","","IEEE","IEEE Conferences"
"Modeling and Assessment of Solar Farm Expansion Using RS, GIS and Machine Learning Techniques: Case of Tarlac Province, Philippines","J. A. Principe","Department of Geodetic Engineering, University of the Philippines Diliman, Quezon City, Philippines",2024 International Conference on Sustainable Energy: Energy Transition and Net-Zero Climate Future (ICUE),"18 Dec 2024","2024","","","1","5","Adoption of renewable energy (RE) sources is crucial for sustainable development due to its low carbon emissions and enhancing energy security. Solar photovoltaic (PV) systems diversify energy sources, increasing market resilience. However, expanding solar farms affects land use and ecosystems. This study identifies solar farm expansion in Tarlac, Philippines, using remote sensing, geographic information system, and machine learning. Results show cropland decreased from 50.19% in 2017 to 47.64% in 2022, with the largest decrease in grassland (−22.3%). Solar power plant (SPP) areas grew by 333.3%, primarily replacing cropland, raising food security concerns. Model simulations predict a 60% increase in SPPs by 2027, boosting power supply but reducing cropland. This study recommends using higher resolution LULC data and more spatial variables for model improvement. Results from this study can help stakeholders in energy and agriculture develop plans to integrate RE in the energy mix while considering its impact on food security.","","979-8-3315-1707-6","10.1109/ICUE63019.2024.10795515","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10795515","solar energy;artificial neural network;cellular automata;remote sensing;geographic information system","Renewable energy sources;Food security;Predictive models;Spatial databases;Sensors;Stakeholders;Sustainable development;Spatial resolution;Geographic information systems;Resilience","","","","10","IEEE","18 Dec 2024","","","IEEE","IEEE Conferences"
"Assessment of Classification Accuracy of Four Global Land Cover Data in Nine Urban Agglomerations","Y. Shi; S. Qiu; L. Liang; J. Wu; Q. Liu; R. Kang","School of Geography, Geomatics and Planning Jiangsu Normal University, Xuzhou, Jiangsu, China; School of Geography, Geomatics and Planning Jiangsu Normal University, Xuzhou, Jiangsu, China; School of Geography, Geomatics and Planning Jiangsu Normal University, Xuzhou, Jiangsu, China; State Key Laboratory of Remote Sensing Science, Aerospace Information Research Institute Chinese Academy of Sciences, Beijing, China; State Key Laboratory of Remote Sensing Science, Aerospace Information Research Institute Chinese Academy of Sciences, Beijing, China; School of Geography, Geomatics and Planning Jiangsu Normal University, Xuzhou, Jiangsu, China",2022 10th International Conference on Agro-geoinformatics (Agro-Geoinformatics),"23 Aug 2022","2022","","","1","6","Land cover data is an important information in natural resource survey, land management, environmental monitoring, etc. It is of great significance to evaluate its accuracy and reveal its category confusion characteristics for many scientific fields. In this study, nine urban agglomerations were selected as the study area, and samples were collected by visual interpretation of Google Earth's high-resolution images. Then, the spatial distribution characteristics and classification accuracy of four land cover data products (GlobeLand30, FROM-GLC, GLC-FCS30 and CCI-LC) were analyzed quantitatively and qualitatively. The results show that all products have achieved good results in the classification of urban agglomeration features, among which the overall accuracy of FROM-GLC is the highest, reaching 82.34%, and CCI-LC is relatively low, with the overall accuracy of 78.09%. Further analysis shows that the classification accuracy of various data products for different land types is different. The classification accuracy of farmland, forest and other large and concentrated land types is higher, while the accuracy of shrubs, wetlands and other small and scattered land types is relatively low. The research results can help users choose data products according to their needs, and provide reference for data producers to improve product accuracy.","","978-1-6654-7078-0","10.1109/Agro-Geoinformatics55649.2022.9859023","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9859023","Land cover data;Spatial consistency;Overall accuracy;Kappa coefficient","Earth;Visualization;Graphical models;Forestry;Internet;Environmental monitoring;Wetlands","","","","7","IEEE","23 Aug 2022","","","IEEE","IEEE Conferences"
"Land-use/cover change of the mongolian plateau from 2001 to 2011 by remote sensing","Y. Zhang; Q. Liu; G. Liu; C. Huang; Z. Gui","Institute of Geographic Science and Natural Resources Research CAS, The Chines Academy of Sciences, Beijing, China; Institute of Geographic Science and Natural Resources Research CAS, The Chines Academy of Sciences, Beijing, China; Institute of Geographic Science and Natural Resources Research CAS, The Chines Academy of Sciences, Beijing, China; Institute of Geographic Science and Natural Resources Research CAS, The Chines Academy of Sciences, Beijing, China; ESRI China Information Technology Co. Ltd, ESRI China, Beijing, China",2015 8th International Congress on Image and Signal Processing (CISP),"18 Feb 2016","2015","","","771","775","With the aid of the remote sensing technology, the land use/cover change data between 2001 and 2010 were obtained. We selected a type of the MODIS global land cover products, the IGBP product, through compare the MODIS global land cover products on the accuracy from the aspect of quantity precision products, taking the 30-m Global Land Cover Dataset as reference data. The spatial and temporal characteristics of the Mongolian Plateau were revealed by analyzing the changing process. The results indicated that the structure of land use in the Mongolian Plateau has an obvious change over that period. In particular, the area of cultivated land and desert decreased while the grassland and forest expanded significantly. The spatial pattern of the land cover change, which is from 2001 to 2011 was gained and we found that the intensity of variation ranged with locations. The northland has a more serious change than southland. Similarly, the eastern region has experienced a greater change than the western, especially in the pediment plain of northeast regions. In conclusion. the land use pattern in Mongolian Plateau has become better over the ten years.","","978-1-4673-9098-9","10.1109/CISP.2015.7407981","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7407981","land use cover change;MODIS;GLC30;temporal and spatial dynamics","MODIS;Remote sensing;Land surface;Ecosystems;Degradation;Meteorology;Ice","","1","","16","IEEE","18 Feb 2016","","","IEEE","IEEE Conferences"
"Temporal Upscaling of MODIS 1-km Instantaneous Land Surface Temperature to Monthly Mean Value: Method Evaluation and Product Generation","X. Liu; Z. -L. Li; J. -H. Li; P. Leng; M. Liu; M. Gao","Key Laboratory of Agriculture Remote Sensing, Ministry of Agriculture/Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China; Key Laboratory of Agriculture Remote Sensing, Ministry of Agriculture/Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China; State Key Laboratory of Resources and Environment Information System, Institute of Geographic Science and Nature Resources Research, Chinese Academy of Sciences, Beijing, China; Key Laboratory of Agriculture Remote Sensing, Ministry of Agriculture/Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China; Key Laboratory of Agriculture Remote Sensing, Ministry of Agriculture/Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China; Key Laboratory of Agriculture Remote Sensing, Ministry of Agriculture/Institute of Agricultural Resources and Regional Planning, Chinese Academy of Agricultural Sciences, Beijing, China",IEEE Transactions on Geoscience and Remote Sensing,"1 Mar 2023","2023","61","","1","14","The monthly mean land surface temperature (MMLST) reflects more stable intra- and interannual temperature variations, and therefore, it has a wider range of applications than instantaneous land surface temperature (LST). This study aimed to generate a high-resolution global MMLST product by temporally upscaling the Moderate Resolution Imaging Spectroradiometer (MODIS) 1-km instantaneous LST. First, six current methods were comprehensively evaluated using cross-validation technology. These six methods are the cross combinations of two temporal aggregation schemes: the average by observations (ABO) and average by days (ABD), and three conversion models: the diurnal temperature cycle model (DTC), the simple average of two instantaneous LSTs (TSA), and a weighted average model for multiple instantaneous LSTs (MWA). The analysis with measurements from 235 flux stations worldwide revealed that the choice of conversion model considerably affected the overall retrieval accuracy, whereas the influence of the aggregation scheme was minor. From the conversion model standpoint, MWA performed best, followed by DTC, and finally TSA; this order remained the same even if DTC and TSA were improved with mean bias correction. Notably, the errors of ABDMWA decreased as the number of daily mean LST (NOD) increased, whereas the errors of ABOMWA were not related to NOD. Accordingly, we deduced that the optimal strategy for estimating MMLST is using ABOMWA when NOD is < 20 and ABDMWA when NOD is  $\ge 20$ . Subsequently, we adopted this combination method to process MODIS instantaneous LSTs and produced a global 1-km MMLST dataset for the years 2003–2020. The validation showed a satisfactory accuracy with a root mean square error (RMSE) of 1.6 K. The intercomparison with MMLSTs from geostationary (GEO) satellites (containing complete LST daily cycle) presented a good agreement (biases < 0.3 K and STDs < 2 K). Compared with atmospheric infrared sounder (AIRS) L3 monthly standard physical retrieval (AIRS3STM) product which had the same temporal span, the newly generated product exhibited a high consistency in reflecting temporal variations of global temperature. Most importantly, it had a prominently better ability to retrieve spatial details of temperature variations due to its higher resolution. Our new method and product show promising prospects for applications in global change studies, where accurate spatially resolved MMLST data are one of the fundamental geophysical variables required.","1558-0644","","10.1109/TGRS.2023.3247428","National Natural Science Foundation of China(grant numbers:41921001,42101371); China Postdoctoral Science Foundation(grant numbers:2020M680774); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10049535","Land surface temperature (LST);Moderate Resolution Imaging Spectroradiometer (MODIS);monthly mean temperature;temporal upscaling","Land surface temperature;Satellites;Temperature measurement;MODIS;Temperature distribution;Atmospheric modeling;Spatial resolution","","12","","48","IEEE","22 Feb 2023","","","IEEE","IEEE Journals"
