"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Early Disease Classification of Mango Leaves Using Feed-Forward Neural Network and Hybrid Metaheuristic Feature Selection","T. N. Pham; L. V. Tran; S. V. T. Dao","School of Industrial Engineering and Management, International University, Vietnam National University, Ho Chi Minh City, Vietnam; School of Industrial Engineering and Management, International University, Vietnam National University, Ho Chi Minh City, Vietnam; School of Industrial Engineering and Management, International University, Vietnam National University, Ho Chi Minh City, Vietnam",IEEE Access,"26 Oct 2020","2020","8","","189960","189973","Plant disease, especially crop plants, is a major threat to global food security since many diseases directly affect the quality of the fruits, grains, and so on, leading to a decrease in agricultural productivity. Farmers have to observe and determine whether a leaf was infected by naked eyes. This process is unreliable, inconsistent, and error prone. Several works on deep learning techniques for detecting leaf diseases had been proposed. Most of them built their models based on limited resolution images using convolutional neural networks (CNNs). In this research, we aim at detecting early disease on plant leaves with small disease blobs, which can only be detected with higher resolution images, by an artificial neural network (ANN) approach. After a pre-processing step using a contrast enhancement method, all the infested blobs are segmented for the whole dataset. A list of several measurement-based features that represents the blobs are chosen and then selected based on their influences on the model's performance using a wrapper-based feature selection algorithm, which is built based on a hybrid metaheuristic. The chosen features are used as inputs for an ANN. We compare the results obtained using our methods with another approach using popular CNN models (AlexNet, VGG16, ResNet-50) enhanced with transfer learning. The ANN's results are better than those of CNNs using a simpler network structure (89.41% vs 78.64%, 79.92%, and 84.88%, respectively). This shows that our approach can be implemented on low-end devices such as smartphones, which will be of great assistance to farmers on the field.","2169-3536","","10.1109/ACCESS.2020.3031914","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9229136","Neural network;image classification;plant disease;feature selection;precision agriculture","Diseases;Feature extraction;Training;Agriculture;Artificial neural networks;Plants (biology)","","189","","41","CCBYNCND","19 Oct 2020","","","IEEE","IEEE Journals"
"A Multi-Modal Approach for Crop Health Mapping Using Low Altitude Remote Sensing, Internet of Things (IoT) and Machine Learning","U. Shafi; R. Mumtaz; N. Iqbal; S. M. H. Zaidi; S. A. R. Zaidi; I. Hussain; Z. Mahmood","School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electrical Engineering and Computer Science (SEECS), National University of Sciences and Technology (NUST), Islamabad, Pakistan; School of Electronic and Electrical Engineering, University of Leeds, Leeds, U.K; Crop Sciences Institute, National Agriculture Research Center (NARC), Islamabad, Pakistan; Crop Sciences Institute, National Agriculture Research Center (NARC), Islamabad, Pakistan",IEEE Access,"25 Jun 2020","2020","8","","112708","112724","The agriculture sector holds paramount importance in Pakistan due to the intrinsic agrarian nature of the economy. Pakistan has its GDP based on agriculture, however it relies on manual monitoring of crops, which is a labour intensive and ineffective method. In contrast to this, several cutting edge technology-based solutions are being employed in the developed countries to enhance the crop yield with the optimal use of resources. To this end, we have proposed an integrated approach for monitoring crop health using IoT, machine learning and drone technology. The integration of these sensing modalities generate heterogeneous data which not only varies in nature (i.e. observed parameter) but also has different temporal fidelity. The spatial resolution of these methods is also different, hence, the optimal integration of these sensing modalities and their implementation in practice are addressed in the proposed system. In our proposed solution, the IoT sensors provide the real-time status of environmental parameters impacting the crop, and the drone platform provide the multispectral data used for generating Vegetation Indices (VIs) such as Normalized Difference vegetation Index (NDVI) for analyzing the crop health. The NDVI provides information about the crop based on the chlorophyll content, which offers limited information regarding the crop health. In order to obtain a rich and detailed knowledge about crop health, the variable length time series data of IoT sensors and multispectral images were converted to a fixed-sized representation to generate crop health maps. A number of machine and deep learning algorithms were applied on the collected data wherein deep neural network with two hidden layers was found to be the most optimal model among all the selected models, providing an accuracy of (98.4%). Further, the health maps were validated through ground surveys and by agriculture experts due to the absence of reference data. The proposed research is basically an indigenous, technology based agriculture solution capable of providing important insights into the crop health by extracting complementary features from multi-modal data set, and minimizing the crop ground survey effort, particularly useful when the agriculture land is large in size.","2169-3536","","10.1109/ACCESS.2020.3002948","Higher Education Commission (HEC), National Research Programme for Universities (NRPU) Program, Pakistan; Global Challenge Research Fund (GCRF), U.K; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9119071","Internet of Things (IoT);precision agriculture;NDVI;crop health","Agriculture;Monitoring;Drones;Remote sensing;Indexes;Sensor systems","","107","","46","CCBY","16 Jun 2020","","","IEEE","IEEE Journals"
"Automatic model based dataset generation for fast and accurate crop and weeds detection","M. Di Cicco; C. Potena; G. Grisetti; A. Pretto","Department of Computer, Control, and Management Engineering “Antonio Ruberti”, Sapienza University of Rome, Italy; Universita degli Studi di Roma La Sapienza, Roma, Lazio, IT; Department of Computer, Control, and Management Engineering “Antonio Ruberti”, Sapienza University of Rome, Italy; Department of Computer, Control, and Management Engineering “Antonio Ruberti”, Sapienza University of Rome, Italy",2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"14 Dec 2017","2017","","","5188","5195","Selective weeding is one of the key challenges in the field of agriculture robotics. To accomplish this task, a farm robot should be able to accurately detect plants and to distinguish them between crop and weeds. Most of the promising state-of-the-art approaches make use of appearance-based models trained on large annotated datasets. Unfortunately, creating large agricultural datasets with pixel-level annotations is an extremely time consuming task, actually penalizing the usage of data-driven techniques. In this paper, we face this problem by proposing a novel and effective approach that aims to dramatically minimize the human intervention needed to train the detection and classification algorithms. The idea is to procedurally generate large synthetic training datasets randomizing the key features of the target environment (i.e., crop and weed species, type of soil, light conditions). More specifically, by tuning these model parameters, and exploiting a few real-world textures, it is possible to render a large amount of realistic views of an artificial agricultural scenario with no effort. The generated data can be directly used to train the model or to supplement real-world images. We validate the proposed methodology by using as testbed a modern deep learning based image segmentation architecture. We compare the classification results obtained using both real and synthetic images as training data. The reported results confirm the effectiveness and the potentiality of our approach.","2153-0866","978-1-5386-2682-5","10.1109/IROS.2017.8206408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206408","","Agriculture;Training;Kinematics;Sugar industry;Visualization","","90","","24","IEEE","14 Dec 2017","","","IEEE","IEEE Conferences"
"Real-Time Machine-Learning Based Crop/Weed Detection and Classification for Variable-Rate Spraying in Precision Agriculture","M. Alam; M. S. Alam; M. Roman; M. Tufail; M. U. Khan; M. T. Khan","Department of Mechatronics Engg., University of Engineering & Technology, Peshawar, Pakistan; Advanced Robotics & Automation Lab, National Center of Robotics & Automation, Peshawar, Pakistan; Advanced Robotics & Automation Lab, National Center of Robotics & Automation, Peshawar, Pakistan; Advanced Robotics & Automation Lab, National Center of Robotics & Automation, Peshawar, Pakistan; Department of Mechatronics Engg., Atilim University, Ankara, Turkey; Advanced Robotics & Automation Lab, National Center of Robotics & Automation, Peshawar, Pakistan",2020 7th International Conference on Electrical and Electronics Engineering (ICEEE),"28 May 2020","2020","","","273","280","Traditional agrochemical spraying techniques often result in over or under-dosing. Over-dosing of spray chemicals is costly and pose a serious threat to the environment, whereas, under-dosing results in inefficient crop protection and thereby low crop yields. Therefore, in order to increase yields per acre and to protect crops from diseases, the exact amount of agrochemicals should be sprayed according to the field/crop requirements. This paper presents a real-time computer vision-based crop/weed detection system for variable-rate agrochemical spraying. Weed/crop detection and classification were performed through the Random Forest classifier. The classification model was first trained offline with our own created dataset and then deployed in the field for testing. Agrochemical spraying was done through application equipment consisting of a PWM-based fluid flow control system capable of spraying the desired amounts of agrochemical directed by the vision-based feedback system. The results obtained from several field tests demonstrate the effectiveness of the proposed vision-based agrochemical spraying framework in real-time.","","978-1-7281-6788-6","10.1109/ICEEE49618.2020.9102505","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9102505","Random forest classifier;variable-rate spraying;weed control","Agriculture;Feature extraction;Spraying;Image segmentation;Real-time systems;Machine vision;Image color analysis","","89","","17","IEEE","28 May 2020","","","IEEE","IEEE Conferences"
"Smart Agriculture Using Internet of Things","I. Mat; M. R. Mohd Kassim; A. N. Harun; I. M. Yusoff","MIMOS Berhad, Kuala Lumpur, MALAYSIA; MIMOS Berhad, Kuala Lumpur, MALAYSIA; MIMOS Berhad, Kuala Lumpur, MALAYSIA; MIMOS Berhad, Kuala Lumpur, MALAYSIA",2018 IEEE Conference on Open Systems (ICOS),"3 Feb 2019","2018","","","54","59","Recent researches hypothetically shown the potential of Internet of Things (IoT) to change major industries for a better world, which includes its impact towards the agriculture industry. Farming industry must grasp IoT to feed 9.6 billion of global population by 2050. Challenges such as extreme weather conditions and rising climate change shall be overcome to fulfil the demand for food. Smart farming based on IoT technologies will enable growers and farmers to reduce waste and enhance productivity ranging from the quantity of fertilizer utilized to the number of journeys the farm vehicles have made. So, what is smart farming? Smart farming is a capital-intensive and hi-tech system of growing food cleanly and sustainable for the masses. It is the application of modern ICT (Information and Communication Technologies) into agriculture. In this paper, the hardware and software of the IoT for smart farming will be presented besides sharing the successful results.","2473-3660","978-1-5386-6666-1","10.1109/ICOS.2018.8632817","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8632817","IoT;smart farming;agriculture;ICT and sensor technology","Agriculture;Graphical user interfaces;Monitoring;Robot sensing systems;Temperature sensors;Climate change","","76","","11","IEEE","3 Feb 2019","","","IEEE","IEEE Conferences"
"Convolution neural network in precision agriculture for plant image recognition and classification","H. S. Abdullahi; R. E. Sheriff; F. Mahieddine","University of Bradford, Bradford, West Yorkshire, GB; School of Engineering and Computer Science, University of Bradford, Bradford, UK; School of Engineering and Computer Science, University of Bradford, Bradford, UK",2017 Seventh International Conference on Innovative Computing Technology (INTECH),"9 Nov 2017","2017","","","1","3","Agriculture is essential to the continued existence of human life as they directly depend on it for the production of food. The exponential rise in population calls for a rapid increase in food with the application of technology to reduce the laborious work and maximize production. Precision Agriculture is thought to be solution required to achieve the production rate required. There has been a significant improvement in the area of image processing and data processing which has being a major challenge previously in the practice of precision Agriculture. A database of images is collected through remote sensing, analyzed and a model is developed to determine the right treatment plans for different crop types and different regions. Features of images from vegetation's need to be extracted, classified, segmented and finally fed into the model. Different techniques have been applied to the processes from the use of the neural network, support vector machine, fuzzy logic approach and recently, the most effective approach generating fast and excellent results using the deep learning approach of convolution neural network for image classifications. Deep Convolution neural network is used in plant images recognition and classification to optimize production on a maize plantation. The experimental results on the developed model yielded results with an average accuracy of 99.58%.","","978-1-5090-3989-0","10.1109/INTECH.2017.8102436","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8102436","Convolution;Feature extraction;Image analysis;Validation and Precision Agriculture","Agriculture;Production;Soil;Convolution;Neural networks;Remote sensing;Vegetation mapping","","72","","","IEEE","9 Nov 2017","","","IEEE","IEEE Conferences"
"ResNet-based approach for Detection and Classification of Plant Leaf Diseases","V. Kumar; H. Arora; Harsh; J. Sisodia","Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India; Department of Computer Engineering, Delhi Technological University, Delhi, India",2020 International Conference on Electronics and Sustainable Communication Systems (ICESC),"4 Aug 2020","2020","","","495","502","Crop disease is a serious concern for safety of food, but its fast detection still remains difficult in different parts of the world because of the lack of proper infrastructure. Automatic identification of plant diseases is necessary for food security, yield loss estimation and management of disease. With the worldwide increase in digital cameras and continuous improvement in computer vision domain, the automated techniques for detection of disease are highly in demands in precision agriculture, highly productive plant phenotype, smart greenhouse and much more. Working on an open dataset which includes 15200 images of crop leaves, a Residual Network (ResNet34) was trained to perform this task of classification. The proposed ResNet34 model accomplished a 99.40% accuracy on a test set, illustrating the viability of the proposed model. Overall, the process of training ResNet models on an open image dataset provides a sound way towards crop disease detection using automated networks on an enormous global scale.","","978-1-7281-4108-4","10.1109/ICESC48915.2020.9155585","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155585","Leaf disease detection & classification;Convolutional Neural Network (CNN);Deep Learning (DL);Computer Vision;Residual Network (ResNet)","Diseases;Agriculture;Feature extraction;Machine learning;Neurons;Computer vision;Task analysis","","72","","23","IEEE","4 Aug 2020","","","IEEE","IEEE Conferences"
"The Digital Agricultural Revolution: A Bibliometric Analysis Literature Review","R. Bertoglio; C. Corbo; F. M. Renga; M. Matteucci","Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milan, Italy; Department of Management, Economics and Industrial Engineering, Politecnico di Milano, Milan, Italy; Department of Management, Economics and Industrial Engineering, Politecnico di Milano, Milan, Italy; Department of Electronics, Information and Bioengineering, Politecnico di Milano, Milan, Italy",IEEE Access,"7 Oct 2021","2021","9","","134762","134782","The application of digital technologies in agriculture can improve traditional practices to adapt to climate change, reduce Greenhouse Gases (GHG) emissions, and promote a sustainable intensification for food security. Some authors argued that we are experiencing a Digital Agricultural Revolution (DAR) that will boost sustainable farming. This study aims to find evidence of the ongoing DAR process and clarify its roots, what it means, and where it is heading. We investigated the scientific literature with bibliometric analysis tools to produce an objective and reproducible literature review. We retrieved 4995 articles by querying the Web of Science database in the timespan 2012-2019, and we analyzed the obtained dataset to answer three specific research questions: i) what is the spectrum of the DAR-related terminology?; ii) what are the key articles and the most influential journals, institutions, and countries?; iii) what are the main research streams and the emerging topics? By grouping the authors’ keywords reported on publications, we identified five main research streams: Climate-Smart Agriculture (CSA), Site-Specific Management (SSM), Remote Sensing (RS), Internet of Things (IoT), and Artificial Intelligence (AI). To provide a broad overview of each of these topics, we analyzed relevant review articles, and we present here the main achievements and the ongoing challenges. Finally, we showed the trending topics of the last three years (2017, 2018, 2019).","2169-3536","","10.1109/ACCESS.2021.3115258","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9547306","Agriculture 4.0;bibliometrics;climate-smart agriculture;digital agriculture;literature review;precision agriculture","Agriculture;Bibliometrics;Digital agriculture;Databases;Global navigation satellite system;Precision engineering;Climate change","","72","","88","CCBY","23 Sep 2021","","","IEEE","IEEE Journals"
"Distributed Sensing Using Smart End-User Devices: Pathway to Federated Learning for Autonomous IoT","A. Imteaj; M. H. Amini","School of Computing and Information Sciences, College of Engineering and Computing, Florida International University Sustainability, Optimization, and Learning for InterDependent networks laboratory (solid lab), Miami, FL, USA; School of Computing and Information Sciences, College of Engineering and Computing, Florida International University Sustainability, Optimization, and Learning for InterDependent networks laboratory (solid lab), Miami, FL, USA",2019 International Conference on Computational Science and Computational Intelligence (CSCI),"20 Apr 2020","2019","","","1156","1161","There is a dearth of research in developing low-cost solutions for distributed decision making in IoT networks. Most studies in the literature require the deployment of additional sensors for data collection. In this study, we propose to leverage available sensors built-in smartphones, to properly collect and broadcast data for different decision-making purposes in smart cities infrastructures, for example, intelligent transportation networks, smart health services, security and emergencies, industrial control, smart agriculture, home automation and so on. To this end, we first introduce our new platform (including software and mobile app implementation) to identify available sensors at each end-user device. We have identified a wide range of sensors including gyroscope, ambient light sensor, temperature, magnetic field sensor, orientation sensor, game rotation vector, linear acceleration, relative humidity, gravity, geomagnetic rotation vector, etc. As the sensors are already integrated within the phone, therefore, using these sensors can be beneficial considering the complexity, efficiency, and cost of the overall system. The challenge is to design a system that can trigger distributed devices to be self-activated and agreed to generate all available sensors data. Besides, as devices can send a continuous stream of data, therefore, size of data could be mounted and could be in the haphazard structure, which would give us hurdles to identify a device sensor data from another and to make an intelligent decision. To tackle all of these, we propose a distributed sensing approach that is capable to identify a device using token, can activate distributed end-user devices to send data to the cloud whenever it requires and store data in the cloud server maintaining proper format. This approach enables remote data collection leveraging available end-user devices and reduces the cost of installing new sensors for autonomous IoT applications. We then build on our efficient sensing platform to enable distributed intelligence among a network of smart devices. To this end, we leverage the computational capacity of these devices for local decision making, i.e., instead of broadcasting all sensing information to a centralized agent and solve a large-scale decision-making problem, each smart device communicates with a limited set of neighboring devices. This will also pave the way for implementing federated learning as a promising solution for distributed decision making.","","978-1-7281-5584-5","10.1109/CSCI49370.2019.00218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071406","Internet of Things;autonomous decision making;federated learning;distributed algorithms;end-user devices;edge learning","Distributed databases;Intelligent sensors;Cloud computing;Sensor systems;Smart phones;Object recognition","","43","","25","IEEE","20 Apr 2020","","","IEEE","IEEE Conferences"
"Blockchain Smart Contract for Scalable Data Sharing in IoT: A Case Study of Smart Agriculture","M. Ur Rahman; F. Baiardi; L. Ricci","Department of Computer Science, University of Pisa, Pisa, Italy; Department of Philology, Literature, Linguistics University of Pisa, Pisa, Italy; Department of Computer Science, University of Pisa, Pisa, Italy",2020 IEEE Global Conference on Artificial Intelligence and Internet of Things (GCAIoT),"9 Feb 2021","2020","","","1","7","The emerging Smart Agriculture based on Internet of Things (IoT) is facing major challenges like data sharing, storage, and monitoring, primarily due to the distributed nature of IoT and massive scale. We performed a review of the literature and found that blockchain performance, scalability, cost, and throughput are the major challenges in adopting blockchain for smart agriculture. To overcome these challenges, this paper proposes a scalable and distributed data sharing system integrating access control for smart agriculture. We demonstrate our approach in a smart agriculture setting, which consists of four tiers that are: smart agriculture, smart contract, Interplanetary File System (IPFS) and agriculture stakeholders (remote users). This paper explains in detail the different components of our proposed architecture. Our approach uses anonymous identities to ensure users' privacy. Our approach is fully scalable because a large number of resource owners can use their data sharing smart contracts to create, update or delete data sharing policies. In addition, our approach does not require transaction fees when the smart contract receives a large number of policy evaluation requests. For the sake of simplicity, we publish and test a single data sharing smart contract. However, in practice, multiple smart contracts need to be deployed to allow each resource owner to securely share agriculture data with stakeholders. Finally, we evaluate the performance of our proposed system on the EOS blockchain to show that the resource consumption (in terms of computing power and network bandwidth) introduced by our framework are insignificant compared to its scalability, cost and security benefits.","","978-1-7281-8420-3","10.1109/GCAIoT51063.2020.9345874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345874","Blockchain;Smart Contract;Smart Agriculture;Smart Farming;Data Sharing;Trust;Access Control;Scalability","Scalability;Smart contracts;Distributed databases;Blockchain;Agriculture;Internet of Things;Stakeholders","","42","","19","IEEE","9 Feb 2021","","","IEEE","IEEE Conferences"
