DOI,Title,Authors,Year,Abstract,Include,Reason,Data Source
10.1109/MetroAgriFor55389.2022.9964911,"Use of satellite-based phenometrics, geophysical soil data and a semi-distributed agro-hydrological model for variable-rate irrigation management in a maize farm in northern Italy",A. Mayer; B. Ortuani; M. De Peppo; F. Nutini; A. Crema; M. Boschetti; G. Ragaglini; A. Facchi,2022,"In the most recent agricultural seasons water scarcity problems in many areas of the Po plain had become more frequent; thus, the introduction of irrigation-saving methods and technologies is becoming essential, especially in areas that cannot benefit from a large availability of surface water resources. In the context of precision irrigation, aimed at increasing water and energy productivity at the farm scale by operating a spatial and temporal variable-rate irrigation if needed, agro-hydrological models play a crucial role. In this study, remote-sensed phenometrics and biophysical crop parameters, and delineation of homogeneous management zones through an electromagnetic induction (EMI) sensor, were used to parametrize a semi-distributed mechanistic agro-hydrological model in the case of a 300-ha maize farm located in Brescia (northern Italy). The modelling system was applied to simulate irrigation use in the current situation and in the case of an optimized and variable rate irrigation management. Average results for the period 2016–2020 showed a water and energy saving of about 20% in the case of the optimized irrigation management, confirmed by savings achieved in a pilot pivot in which the modelling procedure was used in 2021 to support the irrigation scheduling in combination with 7-days weather forecast data.",no,"The study is conducted on a single farm in northern Italy, which is local coverage, not the required national coverage.",
10.1109/MetroAgriFor50201.2020.9277599,Future rainfall scenarios for the assessment of water availability in Italy,R. Padulano; G. F. C. Lama; G. Rianna; M. Santini; M. Mancini; M. Stojiljkovic,2020,"This research aims at understanding and analyzing the possible effect of climate change on the seasonal rainfall regime over Italy. First, rainfall patterns are identified by applying a clustering procedure based on the Self-Organizing Map, by adopting and comparing the results of different gridded datasets describing current climate (1981-2010). Second, for the identified clusters the impact of climate change in the near (2021-2050) and the far future (2051-2080) is assessed by employing an ensemble of bias-adjusted EUROCORDEX climate projections under the Representative Concentration Pathways (RCP) 2.6, 4.5 and 8.5. The results of this study show that, for the considered models’ ensemble, a significant decrease in cumulative rainfall values should be expected in the future, reflecting in a decrease in monthly values across all the seasons.",no,"The data source mentioned, EUROCORDEX, is a European-level dataset, not one with exclusively Italian coverage.",
10.1109/IGARSS.2015.7326063,Crop mapping applications at scale: Using Google Earth Engine to enable global crop area and status monitoring using free and open data sources,G. Lemoine; O. Léo,2015,"The confluence of rapidly growing streams of “free and open” satellite imagery at 10-30 m spatial resolution, expending libraries of sophisticated open source software components for geospatial data processing and the increase in publicly available open data sets is driving major changes in agricultural monitoring activities. In the next years, we can expect a scale step in derived crop area and status information at parcel level from the combined use of global sensors such as Landsat-8, Sentinel 1 and 2. In order to handle the unprecedented flow of such data into value adding agricultural mapping and monitoring applications, novel approaches need to be developed to ensure a globally consistent use in a “knowledge inference” context in support of, for instance, food security analysis. We demonstrate the use of Google Earth Engine (GEE) as a prototype environment that could possibly support such a context with 3 different examples.",no,"The abstract explicitly states the data sources and monitoring are for global purposes, which violates the Italian-only coverage criterion.",
10.1109/MetroAgriFor55389.2022.9964826,Measuring the USLE soil erodibility factor in the unit plots of Sparacia (southern Italy) experimental area,V. Bagarello; V. Ferro; V. Pampalone,2022,"The Universal Soil Loss Equation (USLE) is still widely used to predict soil loss by water erosion and to establish soil conservation measures. In this model, the soil erodibility factor $K$ accounts for the susceptibility of the soil to be eroded due to the detachment and transport processes operated by the erosive agents. According to the USLE scheme, the $K$ factor should be measured on unit plots, i.e., bare plots of given length (22 m) and steepness (9%) tilled along the maximum slope direction, but there is little evidence that there ever existed an actual unit plot between the plots used to develop the USLE. Given the difficulty in collecting sufficient data to adequately measure $K$., the nomograph method was early developed to allow estimation of $K$ based on standard soil properties. First, in this investigation the soil erodibility factor was experimentally determined for the clay soil of the Sparacia (Sicily) experimental station, based on the available measurements collected in two unit plots. Although a limited database was available for this analysis, a very low value (0.0038 t ha h ha−1 MJ−1 mm−1) was determined, which was an order of magnitude lower than the nomograph value. Then, the values of the plot steepness factor $S$ were determined using soil loss measurements collected on plots varying in steepness from 9 to 26% and resulted higher than the estimated values by a well-known literature expression. Finally, the plot length factor $L$ resulted independent of the plot length and equal to one. The former result was explained by the different flow transport capacity in the unit plot and plot with increased steepness, while the result of a constant length factor was supported by other experimental investigations.",no,"The data was collected at a specific experimental area in southern Italy, which constitutes local, not national, coverage.",
10.1109/MetroAgriFor.2019.8909219,2D and 3D data fusion for crop monitoring in precision agriculture,L. Comba; A. Biglia; D. R. Aimonino; P. Barge; C. Tortia; P. Gay,2019,"Addressing the intrinsic variability within vineyards is a key factor to perform precision viticulture management. To this aim, new and more reliable methods for vineyard monitoring purposes must be defined. The introduction of Unmanned Aerial Vehicle (UAV) airborne sensors makes available a considerable amount of data with very high resolution, in terms of both spatial and temporal dimension. In this work, a data fusion approach for vigour characterization in vineyards is presented, which exploits the information provided by 2D multispectral aerial imagery, 3D point cloud crop models and aerial thermal imagery. A crucial phase of the procedure is the proper management of data provided by several sources, to achieve high consistency of the obtained huge dataset. The enhanced effectiveness of the proposed method to classify vines in different vigour classes exploiting multi source data was proved by an experimental campaign, considering 30 portions of vine rows, each made by 8 vines. Results showed that the error of the discriminant analysis using data fusion reach an improvement ranging from 67% to 90% with respect to a single data source, with a misclassification error rate of 3%.",no,"The abstract does not specify the geographical location of the experimental campaign, failing to meet the Italian national coverage criterion.",
10.1109/MetroAgriFor52389.2021.9628717,"Improving accuracy and efficiency in plant detection on a novel, benchmarking real-world dataset",L. Ohnemüller; A. Briassouli,2021,"Detecting plants in images is central in precision agriculture, but can be challenging due to their small size, similarities in appearance, varying lighting and environmental conditions. Moreover, computational capacity in real-world settings may be limited. This work examines how accurate, computationally efficient real-time plant detection can be achieved on the large and varied benchmarking Open Plant Phenotyping Database, by building upon the State-of-the-Art (SoA) Scaled YOLO v4 real-time object detection model. The effect of pre-processing, namely cropping unnecessary information and increasing contrast, is examined and experimentally shown to improve both accuracy and efficiency. Transfer learning is also leveraged for the deployment of Scaled YOLO v4, using pre-trained weights from the MS COCO data set, and shown to lead to a moderate improvement in accuracy. The proposed final model results in approximately 10% higher accuracy than the existing baseline model, on a representative subset of about half of images in the Open Plant Phenotyping Database. Experiments show that plant detection accuracy is improved for most well represented samples, with errors appearing in particularly challenging cases or caused by data imbalance. This shows the proposed method has significant potential for highly accurate and computationally efficient plant detection in real-world environments.",no,"The datasets used, Open Plant Phenotyping Database and MS COCO, are international and not exclusively Italian in coverage.",
10.1109/MetroAgriFor58484.2023.10424409,Enhancing precision agriculture through cyber-physical systems: a functional monitoring platform as decision support tool,E. S. Picchiotti; S. Krik; P. Ibba; P. Tosato; A. Altana; M. Valt; A. Gaiardo; L. Petti,2023,"The continuous advances in the area of cyber-physical systems (CPSs) have led to the improvement of various fields, including agriculture. In this sector, high-performance platforms based on sensors and actuators are becoming key components to allow real-time monitoring of the physiological health status of plants. To this end, the aim of this research is to develop a functional and high-efficient CPS to monitor plants’ status using different key indicators such as normalized difference vegetation index (NDVI), volatile organic compounds (VOCs) and nitrogenous oxide (Nox) emissions, combined with environmental parameters such as temperature, air relative humidity, and soil moisture. In particular, in this paper, the potential of the platform is demonstrated by monitoring the environmental conditions and estimating the stress condition of two tomato plants in a greenhouse.",no,"The data is generated from a small-scale experiment on two plants in a greenhouse, which does not provide national coverage.",
10.1109/MetroAgriFor58484.2023.10424133,Data integration of Sentinel-1 and Sentinel-2 for evaluating vegetation biomass and water status,S. Pilia; G. Fontanelli; L. Santurri; G. Ramat; F. Baroni; E. Santi; A. Lapini; S. Pettinato; S. Paloscia,2023,"The integration of microwave and multispectral data is an emerging technique allowing frequent monitoring of the vegetation biomass and health status. This study aims at integrating Sentinel-1 (S-1) and Sentinel-2 (S-2) acquisitions for estimating the biomass and assessing the water status of agricultural vegetation. The proposed method has been developed and tested on an agricultural area located in Tuscany, central Italy, by considering the S-1 and S-2 acquisitions collected during the summer season of 2022 on a grain sorghum plot. The method combines vegetation volumetric water content $(m_{v})$ estimated from SAR data and optical/infrared vegetation indexes, in particular NDRE which presented the best correlation with the in-situ PRI measurements. The results show a relationship and trend between NDRE and $m_{v}$, although for a limited dataset.",no,"The study area is a local agricultural plot in Tuscany, which does not meet the national coverage requirement.",
10.1109/IGARSS.2015.7326071,Rice monitoring using SAR and optical data in Northern Italy,G. Fontanelli; D. Stroppiana; R. Azar; L. Busetto; M. Boschetti; L. Gatti; F. Collivignarelli; M. Barbieri; F. Holecz,2015,This paper describes a rice mapping and growth monitoring project carried out using both optical and SAR data on an agricultural land area in northern Italy. The approach implemented for mapping rice area is based on synthetic features derived from both the optical and SAR C-band multi-temporal dataset and a rule-based algorithm applied on a pixel basis. SAR X-band data were used improving winter crops recognition. Seasonal dynamics were used to identify rice growing season for regression analysis between SAR backscatter and vegetation parameters. Rice green LAI maps have been produced using the equation found during this analysis between C-band HH pol. backscatter and rice LAI.,no,"The study focuses on an agricultural area in northern Italy, which is regional, not national, coverage.",
10.1109/MetroAgriFor63043.2024.10948820,A Data Collection Framework for Precision Agriculture: Addressing Data Gaps and Overlapping Areas with IoT and Artificial Intelligence,G. Narang; A. Galdelli; R. Pietrini; F. Solfanelli; A. Mancini,2024,"The integration of sensor technology and IoT in precision agriculture has significantly improved farm operations. These technologies enable farmers to monitor crop conditions, soil moisture, and equipment performance in real-time, leading to more efficient practices. However, challenges such as missing data due to low network connectivity in farming areas and inefficiencies due to resource overuse during field operations still persist. This paper addresses these critical issues by presenting and implementing a comprehensive data collection mechanism using IoT architecture and sensors installed on farm machinery, capturing key metrics in real-time using serverless cloud technology. This data helps optimize field coverage and minimize redundant work. We further address the issue of missing data incorporating artificial intelligence-based Bidirectional Recurrent Imputation for Time Series (BRITS) model. When considering random missing data, the model successfully imputes the data evaluated at a Mean Absolute Error (MAE) of 0.4228 m, Mean Square Error (MSE) of $0.4374\ \mathrm{m}^{2}$, Root Mean Squared Error (RMSE) of 0.6614 m, and Mean Relative Error (MRE) of 0.1063. Further, we demonstrate that the BRITS model improves the quality and reliability of sensor-generated agricultural data. Moreover, overlapping areas in the monitored field highlight the necessity of optimizing tractor paths.",no,"The abstract does not specify the geographical location or coverage of the data collection, so it cannot be confirmed to be exclusively Italian.",
