"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Use of satellite-based phenometrics, geophysical soil data and a semi-distributed agro-hydrological model for variable-rate irrigation management in a maize farm in northern Italy","A. Mayer; B. Ortuani; M. De Peppo; F. Nutini; A. Crema; M. Boschetti; G. Ragaglini; A. Facchi","Department of Agricultural and Environmental Sciences (DiSAA), University of Milano, Milano, Italy; Department of Agricultural and Environmental Sciences (DiSAA), University of Milano, Milano, Italy; IREA, National Research Council, Milano, Italy; IREA, National Research Council, Milano, Italy; IREA, National Research Council, Milano, Italy; IREA, National Research Council, Milano, Italy; Department of Agricultural and Environmental Sciences (DiSAA), University of Milano, Milano, Italy; Department of Agricultural and Environmental Sciences (DiSAA), University of Milano, Milano, Italy",2022 IEEE Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"7 Dec 2022","2022","","","64","69","In the most recent agricultural seasons water scarcity problems in many areas of the Po plain had become more frequent; thus, the introduction of irrigation-saving methods and technologies is becoming essential, especially in areas that cannot benefit from a large availability of surface water resources. In the context of precision irrigation, aimed at increasing water and energy productivity at the farm scale by operating a spatial and temporal variable-rate irrigation if needed, agro-hydrological models play a crucial role. In this study, remote-sensed phenometrics and biophysical crop parameters, and delineation of homogeneous management zones through an electromagnetic induction (EMI) sensor, were used to parametrize a semi-distributed mechanistic agro-hydrological model in the case of a 300-ha maize farm located in Brescia (northern Italy). The modelling system was applied to simulate irrigation use in the current situation and in the case of an optimized and variable rate irrigation management. Average results for the period 2016–2020 showed a water and energy saving of about 20% in the case of the optimized irrigation management, confirmed by savings achieved in a pilot pivot in which the modelling procedure was used in 2021 to support the irrigation scheduling in combination with 7-days weather forecast data.","","978-1-6654-6998-2","10.1109/MetroAgriFor55389.2022.9964911","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964911","precision irrigation;pivot;agro-hydrological model;remotely-sensed phenometrics;geophysical soil data","Irrigation;Biological system modeling;Electromagnetic interference;Crops;Distributed databases;Weather forecasting;Soil","","4","","17","IEEE","7 Dec 2022","","","IEEE","IEEE Conferences"
"Simulating soil greenhouse gases emissions with the ARMOSA model: calibration with continuous field measures of CO2 and N2O soil fluxes from the AGRESTIC Project.","M. Gabbrielli; M. Botta; M. Perfetto; I. Volpi; D. Guidotti; C. Tozzini; P. Meriggi; A. Perego; M. Acutis; G. Ragaglini","Department of Agricultural and Environmental Sciences, Università degli Studi di Milano, Milano, Italy; Department of Agricultural and Environmental Sciences, Università degli Studi di Milano, Milano, Italy; Department of Agricultural and Environmental Sciences, Università degli Studi di Milano, Milano, Italy; AEDIT srl, Pisa, Italy; AEDIT srl, Pisa, Italy; Centro di Ricerca di Scienze delle Piante, Scuola Superiore Sant’Anna di Pisa, Pisa, Italy; Horta srl, Piacenza, Italy; Department of Agricultural and Environmental Sciences, Università degli Studi di Milano, Milano, Italy; Department of Agricultural and Environmental Sciences, Università degli Studi di Milano, Milano, Italy; Department of Agricultural and Environmental Sciences, Università degli Studi di Milano, Milano, Italy",2023 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"12 Feb 2024","2023","","","216","221","The complex interactions that soil, weather conditions and cropping system management practices have on carbon dioxide and nitrous oxide emissions from arable lands can be evaluated using process-based dynamic simulations models. Continuous field measures of CO2 and N2O soil fluxes were employed to calibrate and evaluate ARMOSA cropping system model for two cropping systems in a pilot farm located in northern Italy (Ravenna). After parameters calibration, the model was able to satisfactorily capture crop and soil related variables, as well as CO2 (average RRMSE 15.1% for bare soil periods) and N2O (average RRMSE 30.0%) cumulative emissions obtained on the base of soil use. Overall, ARMOSA model adequately simulated emissions trends over time, taking into account weather conditions, tillage events, mineral N application (type and depth), crop residue type and management (removal, soil incorporation or mulching).","","979-8-3503-1272-0","10.1109/MetroAgriFor58484.2023.10424150","LIFE programme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424150","soil GHG flux;nitrification;denitrification;soil organic matter;soil respiration;cropping-system model","Soil measurements;Crops;Soil;Predictive models;Time measurement;Calibration;Meteorology","","","","17","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Future rainfall scenarios for the assessment of water availability in Italy","R. Padulano; G. F. C. Lama; G. Rianna; M. Santini; M. Mancini; M. Stojiljkovic","Regional Models and geo-Hydrological Impacts Division, Centro Euro-Mediterraneo sui Cambiamenti Climatici, Caserta, Italy; Department of Agricultural Sciences, Water Resources Management and Biosystems Engineering Division, University of Naples Federico II, Portici, Italy; Regional Models and geo-Hydrological Impacts Division, Centro Euro-Mediterraneo sui Cambiamenti Climatici, Caserta, Italy; Impacts on Agriculture, Forests and Ecosystem Services Division, Centro Euro-Mediterraneo sui Cambiamenti Climatici, Viterbo, Italy; Advanced Scientific Computing Division, Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce, Italy; Advanced Scientific Computing Division, Centro Euro-Mediterraneo sui Cambiamenti Climatici, Lecce, Italy",2020 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"8 Dec 2020","2020","","","241","246","This research aims at understanding and analyzing the possible effect of climate change on the seasonal rainfall regime over Italy. First, rainfall patterns are identified by applying a clustering procedure based on the Self-Organizing Map, by adopting and comparing the results of different gridded datasets describing current climate (1981-2010). Second, for the identified clusters the impact of climate change in the near (2021-2050) and the far future (2051-2080) is assessed by employing an ensemble of bias-adjusted EUROCORDEX climate projections under the Representative Concentration Pathways (RCP) 2.6, 4.5 and 8.5. The results of this study show that, for the considered models’ ensemble, a significant decrease in cumulative rainfall values should be expected in the future, reflecting in a decrease in monthly values across all the seasons.","","978-1-7281-8783-9","10.1109/MetroAgriFor50201.2020.9277599","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9277599","bias correction;climate change;EURO-CORDEX;rainfall patterns;rainfall projections;water availability","Meteorology;Data models;Climate change;Biological system modeling;Uncertainty;Europe;Water resources","","18","","16","IEEE","8 Dec 2020","","","IEEE","IEEE Conferences"
"PRIMA MAGO project: open-source applications based on Copernicus data for agricultural water management","L. Pouget; A. Serra; F. Nuñez; M. Sarrias; S. Yacoubi; I. Gil; M. Pérez","Dept. Critical infrastructure, CETAQUA, Barcelona, Spain; Dept. Critical infrastructure, CETAQUA, Barcelona, Spain; Dept. Water 4.0 CETAQUA, Málaga, Spain; Dept. Critical infrastructure, CETAQUA, Barcelona, Spain; Irrigation Engineering INRGREF, Tunis, Tunisia; Project Technical Assistance AGBAR Agriculture, Almería, Spain; AGBAR Agriculture, Almería, Spain",2023 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"12 Feb 2024","2023","","","531","536","The Copernicus program has significantly increased the speed at which data is generated and distributed. However, there are still some challenges in effectively delivering this information to end-users. To address this, the PRIMA MAGO Project fosters a collaborative culture and has developed various open-source applications for end-users in the Mediterranean Region. These applications utilize a combination of Copernicus EO data (Sentinel-2) and derived datasets (atmospheric reanalysis ERA-Land5) for purposes such as monitoring water quality in irrigation reservoirs and climate risk planning and forecasting. These applications are currently undergoing testing with irrigation communities, national water managers, and farmers in Spain, Tunisia, and Turkey. As the MAGO project enters its final months, concluding in 2024, the objective is to further disseminate these open-source applications to researchers and users.","","979-8-3503-1272-0","10.1109/MetroAgriFor58484.2023.10424068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424068","Open-source;Sentinel 2;Copernicus climate data store;water quality;climate analysis","Irrigation;Codes;Water quality;Programming;Reservoirs;Testing;Meteorology","","","","8","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Crop mapping applications at scale: Using Google Earth Engine to enable global crop area and status monitoring using free and open data sources","G. Lemoine; O. Léo","European Commission, Institute for Environment and Sustainability, Ispra, Italy; European Commission, Institute for Environment and Sustainability, Ispra, Italy",2015 IEEE International Geoscience and Remote Sensing Symposium (IGARSS),"12 Nov 2015","2015","","","1496","1499","The confluence of rapidly growing streams of “free and open” satellite imagery at 10-30 m spatial resolution, expending libraries of sophisticated open source software components for geospatial data processing and the increase in publicly available open data sets is driving major changes in agricultural monitoring activities. In the next years, we can expect a scale step in derived crop area and status information at parcel level from the combined use of global sensors such as Landsat-8, Sentinel 1 and 2. In order to handle the unprecedented flow of such data into value adding agricultural mapping and monitoring applications, novel approaches need to be developed to ensure a globally consistent use in a “knowledge inference” context in support of, for instance, food security analysis. We demonstrate the use of Google Earth Engine (GEE) as a prototype environment that could possibly support such a context with 3 different examples.","2153-7003","978-1-4799-7929-5","10.1109/IGARSS.2015.7326063","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7326063","open data;Sentinel-1;Landsat-8;Google Earth Engine","Agriculture;Earth;Satellites;Remote sensing;Google;Monitoring;Engines","","17","","5","IEEE","12 Nov 2015","","","IEEE","IEEE Conferences"
"Measuring the USLE soil erodibility factor in the unit plots of Sparacia (southern Italy) experimental area","V. Bagarello; V. Ferro; V. Pampalone","Department of Agricultural, Food and Forest Sciences, University of Palermo, Palermo, Italy; Department of Agricultural, Food and Forest Sciences, University of Palermo, Palermo, Italy; Department of Agricultural, Food and Forest Sciences, University of Palermo, Palermo, Italy",2022 IEEE Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"7 Dec 2022","2022","","","271","276","The Universal Soil Loss Equation (USLE) is still widely used to predict soil loss by water erosion and to establish soil conservation measures. In this model, the soil erodibility factor $K$ accounts for the susceptibility of the soil to be eroded due to the detachment and transport processes operated by the erosive agents. According to the USLE scheme, the $K$ factor should be measured on unit plots, i.e., bare plots of given length (22 m) and steepness (9%) tilled along the maximum slope direction, but there is little evidence that there ever existed an actual unit plot between the plots used to develop the USLE. Given the difficulty in collecting sufficient data to adequately measure $K$., the nomograph method was early developed to allow estimation of $K$ based on standard soil properties. First, in this investigation the soil erodibility factor was experimentally determined for the clay soil of the Sparacia (Sicily) experimental station, based on the available measurements collected in two unit plots. Although a limited database was available for this analysis, a very low value (0.0038 t ha h ha−1 MJ−1 mm−1) was determined, which was an order of magnitude lower than the nomograph value. Then, the values of the plot steepness factor $S$ were determined using soil loss measurements collected on plots varying in steepness from 9 to 26% and resulted higher than the estimated values by a well-known literature expression. Finally, the plot length factor $L$ resulted independent of the plot length and equal to one. The former result was explained by the different flow transport capacity in the unit plot and plot with increased steepness, while the result of a constant length factor was supported by other experimental investigations.","","978-1-6654-6998-2","10.1109/MetroAgriFor55389.2022.9964826","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9964826","soil loss;plot measurements;unit plot;USLE","Soil measurements;Databases;Area measurement;Estimation;Soil;Length measurement;Water conservation","","2","","31","IEEE","7 Dec 2022","","","IEEE","IEEE Conferences"
"2D and 3D data fusion for crop monitoring in precision agriculture","L. Comba; A. Biglia; D. R. Aimonino; P. Barge; C. Tortia; P. Gay","DENERG Politecnico di Torino, Torino, Italy; DiSAFA Università degli Studi di Torino, Grugliasco (TO), Italy; DiSAFA Università degli Studi di Torino, Grugliasco (TO), Italy; DiSAFA Università degli Studi di Torino, Grugliasco (TO), Italy; DiSAFA Università degli Studi di Torino, Grugliasco (TO), Italy; DiSAFA Università degli Studi di Torino, Grugliasco (TO), Italy",2019 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"21 Nov 2019","2019","","","62","67","Addressing the intrinsic variability within vineyards is a key factor to perform precision viticulture management. To this aim, new and more reliable methods for vineyard monitoring purposes must be defined. The introduction of Unmanned Aerial Vehicle (UAV) airborne sensors makes available a considerable amount of data with very high resolution, in terms of both spatial and temporal dimension. In this work, a data fusion approach for vigour characterization in vineyards is presented, which exploits the information provided by 2D multispectral aerial imagery, 3D point cloud crop models and aerial thermal imagery. A crucial phase of the procedure is the proper management of data provided by several sources, to achieve high consistency of the obtained huge dataset. The enhanced effectiveness of the proposed method to classify vines in different vigour classes exploiting multi source data was proved by an experimental campaign, considering 30 portions of vine rows, each made by 8 vines. Results showed that the error of the discriminant analysis using data fusion reach an improvement ranging from 67% to 90% with respect to a single data source, with a misclassification error rate of 3%.","","978-1-7281-3611-0","10.1109/MetroAgriFor.2019.8909219","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8909219","Precision viticulture;Crop modelling;2D and 3D data fusion;UAV remote sensing","Three-dimensional displays;Agriculture;Solid modeling;Error analysis;Data models;Two dimensional displays;Data integration","","31","","33","IEEE","21 Nov 2019","","","IEEE","IEEE Conferences"
"Improving accuracy and efficiency in plant detection on a novel, benchmarking real-world dataset","L. Ohnemüller; A. Briassouli","Department of Data Science and Knowledge Engineering, Maastricht University, Maastricht, Netherlands; Department of Data Science and Knowledge Engineering, Maastricht University, Maastricht, Netherlands",2021 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"3 Dec 2021","2021","","","172","176","Detecting plants in images is central in precision agriculture, but can be challenging due to their small size, similarities in appearance, varying lighting and environmental conditions. Moreover, computational capacity in real-world settings may be limited. This work examines how accurate, computationally efficient real-time plant detection can be achieved on the large and varied benchmarking Open Plant Phenotyping Database, by building upon the State-of-the-Art (SoA) Scaled YOLO v4 real-time object detection model. The effect of pre-processing, namely cropping unnecessary information and increasing contrast, is examined and experimentally shown to improve both accuracy and efficiency. Transfer learning is also leveraged for the deployment of Scaled YOLO v4, using pre-trained weights from the MS COCO data set, and shown to lead to a moderate improvement in accuracy. The proposed final model results in approximately 10% higher accuracy than the existing baseline model, on a representative subset of about half of images in the Open Plant Phenotyping Database. Experiments show that plant detection accuracy is improved for most well represented samples, with errors appearing in particularly challenging cases or caused by data imbalance. This shows the proposed method has significant potential for highly accurate and computationally efficient plant detection in real-world environments.","","978-1-6654-0533-1","10.1109/MetroAgriFor52389.2021.9628717","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9628717","precision farming;object detection;transfer learning;YOLO;plant classification","Databases;Computational modeling;Plants (biology);Transfer learning;Object detection;Benchmark testing;Data models","","2","","18","IEEE","3 Dec 2021","","","IEEE","IEEE Conferences"
"Enhancing precision agriculture through cyber-physical systems: a functional monitoring platform as decision support tool","E. S. Picchiotti; S. Krik; P. Ibba; P. Tosato; A. Altana; M. Valt; A. Gaiardo; L. Petti","Faculty of Engineering, Free University of Bozen-Bolzano, Piazza Domenicani 3, Bolzano, Italy; Faculty of Engineering, Free University of Bozen-Bolzano, Piazza Domenicani 3, Bolzano, Italy; Faculty of Engineering, Free University of Bozen-Bolzano, Piazza Domenicani 3, Bolzano, Italy; MNF-Micro Nano Facility Unit, Sensors and Devices Center, Bruno Kessler Foundation, Via Sommarive 18,38123, Trento, Italy; Competence Centre for Mountain Innovation Ecosystems, Free University of Bozen-Bolzano, Piazza Universitá 1, Bolzano, Italy; MNF-Micro Nano Facility Unit, Sensors and Devices Center, Bruno Kessler Foundation, Via Sommarive 18,38123, Trento, Italy; MNF-Micro Nano Facility Unit, Sensors and Devices Center, Bruno Kessler Foundation, Via Sommarive 18,38123, Trento, Italy; Faculty of Engineering, Free University of Bozen-Bolzano, Piazza Domenicani 3, Bolzano, Italy",2023 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"12 Feb 2024","2023","","","826","831","The continuous advances in the area of cyber-physical systems (CPSs) have led to the improvement of various fields, including agriculture. In this sector, high-performance platforms based on sensors and actuators are becoming key components to allow real-time monitoring of the physiological health status of plants. To this end, the aim of this research is to develop a functional and high-efficient CPS to monitor plants’ status using different key indicators such as normalized difference vegetation index (NDVI), volatile organic compounds (VOCs) and nitrogenous oxide (Nox) emissions, combined with environmental parameters such as temperature, air relative humidity, and soil moisture. In particular, in this paper, the potential of the platform is demonstrated by monitoring the environmental conditions and estimating the stress condition of two tomato plants in a greenhouse.","","979-8-3503-1272-0","10.1109/MetroAgriFor58484.2023.10424409","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424409","Smart monitoring;precision agriculture;crop water stress;normalised difference index vegetation.","Temperature sensors;Temperature measurement;Soil moisture;Humidity;Sensors;Monitoring;Stress","","2","","22","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
"Data integration of Sentinel-1 and Sentinel-2 for evaluating vegetation biomass and water status","S. Pilia; G. Fontanelli; L. Santurri; G. Ramat; F. Baroni; E. Santi; A. Lapini; S. Pettinato; S. Paloscia","Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy; Institute of Applied Physics ‘Nello Carrara’- National Research Council IFAC-CNR, Florence, Italy",2023 IEEE International Workshop on Metrology for Agriculture and Forestry (MetroAgriFor),"12 Feb 2024","2023","","","694","698","The integration of microwave and multispectral data is an emerging technique allowing frequent monitoring of the vegetation biomass and health status. This study aims at integrating Sentinel-1 (S-1) and Sentinel-2 (S-2) acquisitions for estimating the biomass and assessing the water status of agricultural vegetation. The proposed method has been developed and tested on an agricultural area located in Tuscany, central Italy, by considering the S-1 and S-2 acquisitions collected during the summer season of 2022 on a grain sorghum plot. The method combines vegetation volumetric water content $(m_{v})$ estimated from SAR data and optical/infrared vegetation indexes, in particular NDRE which presented the best correlation with the in-situ PRI measurements. The results show a relationship and trend between NDRE and $m_{v}$, although for a limited dataset.","","979-8-3503-1272-0","10.1109/MetroAgriFor58484.2023.10424133","Ente Cassa di Risparmio di Firenze; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10424133","Sentinel-1;Sentinel-2;data integration;Google Earth Engine;PRI;Water Cloud Model","Satellite constellations;Vegetation mapping;Optical variables measurement;Microwave theory and techniques;Biomass;Optical sensors;Monitoring","","2","","28","IEEE","12 Feb 2024","","","IEEE","IEEE Conferences"
